,sent
0,"Although cocaine addiction remains a serious health and societal problem in the United States, no FDA-approved treatment has been developed."
1,"Acceptance of a novel vaccine is influenced by perceptions of risk including risk of infection, risk of death or severe illness and risk of serious vaccine side-effects."
2,"Therefore, such self-assembled, polyvalent, and highly immunogenic VLPs and small subviral particles are excellent subunit vaccines against individual viruses, such as the VLP vaccines against the hepatitis B virus, human papilloma virus, and hepatitis E virus, which have already been in the markets."
3,"Hence, these epitopes could be useful for diagnosis and as vaccine constituents."
4,"In recent years, though pigs have been immunized with the vaccines in pig farms, PED still broke out and caused severe economic losses to the swine industry in the northeast China."
5, We have previously reported the generation of the attenuated KNU-141112-S DEL5/ORF3 virus by continuous propagation of highly virulent G2b porcine epidemic diarrhea virus (PEDV) in Vero cells.
6,"Therefore, it is necessary to develop an efficient and safe vaccine that is able to induce mucosal and systemic immune responses."
7,"Methods The epidemiology of respiratory viruses among healthy children (6 months to <10 years) with influenza-like illness (ILI) was determined in a population sample derived from an influenza vaccine trial (NCT01051661) in 17 centers in eight countries (Australia, South East Asia and Latin America)."
8,monitoring antiviral drug resistant mutations require a set of probes representing the important sequence variants of one or more viral genes.
9,"A number of animal vaccines are already administered via the mucosal surfaces, with many more to come over the next few years."
10,"At the outset of the study, the 120 calves were at risk (susceptible to viral infections) on day 0 because they were seronegative to the viruses: 98/120 (81.7%), < 1:4 to BVDV type 1; 104/120 (86.7%) < 1:4 to BVDV type 2; 86/120 (71.7%) < 1:4 to PI-3V; 87/120 (72.5%) < 1:4 to BRSV; and 111/120 (92.5%) < 1:10 to BHV-1."
11,These results indicate that house flies are capable of harboring NDV (Roakin) but that they are poor vectors of the virus because they carry an insufficient virus titer to cause infection.
12,"We consider a monopoly market for an imperfect vaccine; we show that a fixed two-part subsidy is unable to coordinate the market, but derive a two-part menu of subsidies that leads to a socially efficient level of coverage."
13,"Heat and light lability, as well as contraindications in immunocompromised persons, limit the use of the vaccine."
14,The amino acid sequences recognized by monoclonal antibodies (MAbs) specific for the antigenic site IV of the spike protein S of transmissible gastroenteritis virus were analyzed by PEPSCAN.
15,The molecular biology of coronaviruses and particular features of the human coronavirus 229E (HCoV 229E) indicate that HCoV 229E-based vaccine vectors can become a new class of highly efficient vaccines.
16,"The primary endpoints included symptom improvement and virus nucleic acid turning negative, but the optimal endpoint has not been determined."
17," Five years after the first severe acute respiratory syndrome (SARS) outbreak, several candidate SARS-coronavirus (CoV) vaccines are at various stages of preclinical and clinical development."
18,The two anti-M protein MAbs (MAbs IAFK3 and IAFK6) and another MAb (MAb IAFK8) directed to the 15-kDa nucleocapsid (N) protein were devoid of virus-neutralizing activity.
19," The risk posed by viruses as biological threat agents is discussed primarily from a public health perspective, with the potential occurrence of significant morbidity and mortality as a result of infection via natural or intentional exposure."
20,"Camels are reservoirs of this virus, and the virus spills over into humans through direct contact with camels."
21,"Similarly, vaccination with alphavirus vectors expressing tumor antigens resulted in prophylactic protection against challenges with tumor-inducing cancerous cells."
22,Results indicated that both of the DNA vaccines prevented homosubtypic virus infections completely.
23,"Our study demonstrates that major virulence factors are different among BCG strains, which provide molecular mechanisms for important vaccine phenotypes including adverse effect profile, tuberculin reactivity and protective efficacy."
24,"RESULTS AND DISCUSSION: Patients with cancer often have disease- or treatment-related immunosuppression, and as a consequence, they may have a suboptimal serologic response to influenza vaccination."
25,"The model viruses studied were sendaivirus, human immunodeficency virus (HIV-IIIb), human poliovirus type-II, human herpesvirus I and canine parvovirus."
26,"Chikungunya virus (CHIKV) has infected millions of people in Africa, Europe, and Asia1,2 since its re-emergence in Kenya in 2004."
27,These results demonstrate that transgenic potatoes expressing IBV S1 glycoprotein can be used as a source of recombinant antigen for vaccine production.
28,It was found that the S-protein from the SARS coronavirus (SARS-CoV) bind stronger to ACE2 than 2019-nCoV.
29,Applying an additional fed-batch feeding strategy during the whole virus replication phase resulted in a faster virus titer increase during the first 36 h after infection.
30,"We used x-ray crystallography, molecular dynamics simulations, NMR spectroscopy, and pre-steady-state kinetics to compare a mutator (H273R) RdRp from poliovirus to the wild-type (WT) enzyme."
31,Amino acid sequence analysis based on individual virus genes indicated a close relationship between the spike protein gene of CHGD-01 and the field strain KNU0802 in Korea.
32,"In particular, a variety of different attenuation strategies to produce a range of attenuated mononegavirus vaccines have been studied."
33,"This piece of information plays a critical role in some aspects of vaccine development, such as viral strain selection for vaccinations or rational attenuation of viruses."
34,"Recent research has highlighted the longer-term consequences of the disease for malnourished children, involving growth stunting and cognitive deficits, and significant growth and production losses for livestock."
35," At the current time, the field of vaccinology remains empirical in many respects."
36,"CONCLUSION: To end, the projected peptide gave us a solid stand to propose for vaccine consideration and that might be experimented for its potency in eliciting immunity through humoral and cell mediated immune responses in vitro and in vivo."
37,"The infection with the virus may cause acute febrile sickness that clinically resembles dengue fever, yet there is no vaccine, no satisfactory treatment, and no means of evaluating the risk of the disease or prognosis in the infected people."
38,The progression and global proliferation of the HIV pandemic is mirrored by the spread of Zika virus (ZikaV).
39,"However, highly attenuated nephropathogenic IBV vaccine, K2 strain, provided significantly higher levels of protection against variants compared with chickens vaccinated with H120 (P < 0.05 or better)."
40,doses of a rotavirus-like particle (2/6-VLPs) vaccine derived from Wa (VP6) and bovine RF (VP2) rotavirus strains.
41,"Beginning with simple models explaining the spatial pattern of infectious diseases, the epidemiologic transition, and disease ecology models, the article focuses on HIV/AIDS, tuberculosis, polio, SARS, and influenza as well as sexually transmitted infections such as gonorrhea."
42,": The ongoing yellow fever (YF) epidemic in Angola strains the global vaccine supply, prompting WHO to adopt dose sparing for its vaccination campaign in Kinshasa in July–August 2016."
43,"In wild-type human parainfluenza virus type 2 (WT HPIV2), one gene (the P/V gene) encodes both the polymerase-associated phosphoprotein (P) and the accessory V protein."
