,pid,newpid,category,sent,newscore
13,ogb83fgc,5041,animaldesign,The immunogenicity of this double-inactivated vaccine was characterised in the mouse model.,0.7614970277736648
19,st0wcabn,6427,animaldesign,"Accordingly, surface expression of DC-targeted antigens successfully induced cellular, mucosal, and humoral immunity in mice and could be used as a vaccine.",0.7592767031307346
539,uxnbie09,6707,animaldesign, We evaluated the safety and immunogenicity of a chimeric alphavirus vaccine candidate in mice with selective immunodeficiencies.,0.7592009330001636
57,3rr0j5tk,5312,animaldesign,This engineered vaccine demonstrates significantly enhanced efficacy in protecting transgenic mice from lethal MERS-CoV challenge.,0.7585170475882619
1871,hkyiy1gm,12936,animaldesign,We examined the immune responses to SARS-CoV in both young and adult mice.,0.7585085752148437
295,dfl69g4f,7944,animaldesign,"Additionally, in vivo experiments demonstrate replication of the chimeric virus in mouse lung with notable pathogenesis.",0.7584988500261861
663,w5b5yrbo,5100,animaldesign,"Here, we expand our investigation of the immunogenic properties of these bivalent vaccines in mice.",0.7583572926599822
67,roj8ksvc,6406,animaldesign,"Therefore, the immunogenicity of a novel MERS-CoV RBD-based subunit vaccine was tested in mice using different adjuvant formulations and delivery routes.",0.758283392756314
2056,dck3ecdd,12184,animaldesign,"Notably, direct intragastric inoculation of MERS-CoV caused a lethal infection in human DPP4 transgenic mice.",0.7581576290774824
480,081o2zmd,7353,animaldesign,"In addition, the DNA vaccines induced a high level of IFN-γ in the immunized mice.",0.7581489113198989
45,5bp2bmy4,14222,animaldesign,"Comparing a sublethal and lethal dose of MERS-CoV in mice, analysis of daily blood draws demonstrates a dose dependent modulation of leukocytes.",0.758130586475317
576,b45cmsc4,5532,animaldesign,Vaccine efficacy studies were performed in mouse and rat lethal challenge models resulting in high protection rates.,0.7580522681918453
1,qk2ureql,7705,animaldesign,"Intranasal delivery of these rAd5 vectors gave protection against a lethal challenge dose of PVM in three different mouse strains, and protection lasted for at least 20 weeks post-immunisation.",0.7580224590681207
168,84hphtps,13690,animaldesign,Treatment with these mAbs provided partial but significant protection against disease in a mouse model of Ebola virus infection.,0.7579288130632569
2221,prftlaxn,14699,animaldesign,"Recently, we evaluated the pathogenicity of two clinical SAFV isolates in mice.",0.7578189013715044
2310,fz7vrnb1,12519,animaldesign,"However, the presence of T lymphocytes or anti-viral antibody can induce disease in infected immunodeficient mice.",0.7577900684260302
1485,hmwkf6is,8931,animaldesign,We also evaluated the immune response to early rAAV6-vaccination in neonatal mice.,0.7577731863692432
29,1m9y2qiu,8092,animaldesign,"When given a high dose of MERS-CoV, our transgenic mice expressing hCD26/DPP4 viral receptor uniformly succumbed to death within 6 days, making it difficult to evaluate host responses to infection and disease.",0.7577630652789703
2308,kvcbj093,5883,animaldesign,IMPORTANCE Ferrets and mice are commonly used for preclinical evaluation of influenza vaccines.,0.7577563160171348
2240,uxnbie09,6710,animaldesign,Wild type mice were protected against lethal VEEV challenge.,0.7575898633566548
137,u1xbkaq0,8538,animaldesign,Characterization of these vaccines in mice demonstrated that a single intramuscular AAV injection was sufficient to induce a potent and long-lasting antibody response.,0.7575400750324024
203,abtpvam1,1075,animaldesign,This vaccine provided remarkable protective efficacy in mouse model compared to the BCG.,0.7574880700053245
23,hb2lieh3,1048,animaldesign,Evaluations of an inactivated whole virus vaccine in ferrets and nonhuman primates and a virus-like-particle vaccine in mice induced protection against infection but challenged animals exhibited an immunopathologic-type lung disease.,0.7574663834880248
415,w5lavhgr,8826,animaldesign,Recently developed in vivo imaging tools have provided insight into malaria parasite infection and disease in mouse models.,0.7574313649777802
