,animaldesign,newpid
0,0.6703846454620361,5718
1,0.4340142011642456,1693
2,0.8927527070045471,2865
3,0.7992528676986694,4777
4,0.8583886027336121,6216
5,0.9219362139701843,11102
6,0.3315209746360779,757
7,0.645328938961029,9559
8,0.9563859105110168,9699
9,0.8964013457298279,14156
10,0.9611153602600098,6804
11,0.961409330368042,14225
12,0.809952437877655,611
13,0.9181490540504456,5384
14,0.6899092793464661,14720
15,0.8434047102928162,14660
16,0.8991839289665222,10080
17,0.9591720700263977,3255
18,0.9585224390029907,9657
19,0.8260049223899841,8840
20,0.9530525803565979,12345
21,0.2683541774749756,13514
22,0.8321912884712219,12307
23,0.9107137322425842,13887
24,0.8776698708534241,11165
25,0.960342288017273,14133
26,0.561789870262146,8317
27,0.9579063057899475,1889
28,0.8588181734085083,10964
29,0.22157612442970276,12532
30,0.9158926606178284,12651
31,0.21020691096782684,14192
32,0.9388226866722107,4169
33,0.215589702129364,4013
34,0.2260894775390625,8152
35,0.9549808502197266,7008
36,0.9145536422729492,5632
37,0.4170932471752167,14604
38,0.7301936149597168,4610
39,0.8838302493095398,12735
40,0.8445828557014465,8531
41,0.9161790609359741,13921
42,0.8989645838737488,86
43,0.9061992764472961,3538
44,0.3465605676174164,9890
45,0.25191450119018555,12116
46,0.959161102771759,12616
47,0.9381099343299866,12438
48,0.8233463168144226,13255
49,0.6283759474754333,9803
50,0.953825056552887,11013
51,0.7945491075515747,646
52,0.8465404510498047,4682
53,0.8373771905899048,16017
54,0.8954421877861023,1989
55,0.8901801109313965,9022
56,0.8746906518936157,5061
57,0.8059500455856323,9662
58,0.9596347808837891,9168
59,0.9585080146789551,8439
60,0.9584333300590515,13088
61,0.2352866232395172,9880
62,0.7698163390159607,6977
63,0.8805675506591797,14963
64,0.362140029668808,6052
65,0.9582887887954712,8900
66,0.9103438258171082,239
67,0.8572461605072021,13710
68,0.834969162940979,2472
69,0.436312198638916,15236
70,0.9564119577407837,8155
71,0.3382166624069214,15115
72,0.8939441442489624,3420
73,0.655432403087616,2488
74,0.5295639634132385,9225
75,0.9597367644309998,4356
76,0.7021005153656006,545
77,0.9002526998519897,10810
78,0.20792244374752045,1316
79,0.8685972094535828,10113
80,0.8456866145133972,2078
81,0.9040802717208862,7820
82,0.7496597170829773,12986
83,0.9037300944328308,4237
84,0.9036158919334412,9100
85,0.8388190269470215,11099
86,0.8688057661056519,7412
87,0.7486304044723511,2171
88,0.20694544911384583,5921
89,0.9115188121795654,6788
90,0.9591264128684998,3783
91,0.9132379293441772,6206
92,0.20233464241027832,15826
93,0.9264819025993347,5111
94,0.9576287865638733,5206
95,0.9595224857330322,15159
96,0.9218811988830566,1647
97,0.9041793346405029,3546
98,0.8687330484390259,10917
99,0.9567961692810059,14532
100,0.9113051891326904,11764
101,0.3521515130996704,12949
102,0.8913925290107727,2544
103,0.7131203413009644,288
104,0.8909386396408081,11620
105,0.9606788158416748,11825
106,0.8801427483558655,2523
107,0.9322026371955872,11826
108,0.9581093788146973,4060
109,0.7863596081733704,6898
