,sent
0,"An ideal animal model should reflect the clinical signs, viral replication and pathology seen in humans."
1,Lack of small animal model hinders MERS coronavirus research
2,"Apart from masked palm civets and bats, 29 other animal species had been tested for the SARS-CoV, and the results are summarized in this paper."
3,"We performed phylogenetic, split network, transmission network, likelihood-mapping, and comparative analyses of the genomes."
4,"Using a mouse model of hepatitis C, we examined the therapeutic effects of a recombinant vaccinia virus (rVV) that encodes an HCV protein."
5,The recombinant viruses replicated efficiently in cell culture and demonstrated variable sensitivities to neutralization with antibodies.
6,This article forms part of a symposium in Antiviral Research on “From SARS to MERS: research on highly pathogenic human coronaviruses.”
7," Infection with virulent biotypes of feline coronavirus (FCoV) can result in the development of feline infectious peritonitis (FIP), a typically fatal immune mediated disease for which there is currently no effective antiviral treatment."
8,"Bats, snakes and pangolins have been cited as potential carriers based on the sequence homology of CoV isolated from these animals and the viral nucleic acids of the virus isolated from SARS-CoV-2 infected patients."
9,The potential mutability of the coronavirus genome may pose problems in the control of future SARS outbreaks.
10,"However, the amino acid sequence of COVID-19 differs from other coronaviruses specifically in the regions of 1ab polyprotein and surface glycoprotein or S-protein."
11,Here we use computational tools from structural biology and machine learning to identify 2019-nCoV T-cell and B-cell epitopes based on viral protein antigen presentation and antibody binding properties.
12,This inevitably hinders understanding of virushost interaction and development of appropriate countermeasures.
13,"Of six family members who travelled to Wuhan, five were identified as infected with the novel coronavirus."
14,"Blocking MERS-CoV zoonotic transmission from dromedary camels, the animal reservoir, could potentially reduce the number of primary human cases."
15,"In this chapter, we describe the pathology of SARS-CoV infection in humans and explore the use of two models of the human conducting airway to develop a better understanding of the replication and pathogenesis of SARS-CoV in relevant in vitro systems."
16,"Data Synthesis COVID-19 mainly invades the lungs, causing its serious damage."
17,FCoV exhibits 2 biotypes: the pathogenic disease and a benign infection with feline enteric coronavirus (FECV).
18,"Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism."
19,"Based on evolutionary analyses of coronavirus DNA sequences, encompassing an approximately 13kb stretch of the SARS-TOR2 genome, we provide evidence that SARS-CoV has a recombinant history with lineages of types I and III coronavirus."
20,Human monoclonal antibodies (MAbs) that neutralize SARS-associated coronavirus (SARSCoV) could provide protection for exposed individuals.
21," Two species of primates, Owl and African green monkeys, were inoculated intracerebrally with either the neurotropic mouse hepatitis virus JHM or the putative multiple sclerosis brain coronavirus isolate SD."
22,"The continuous increase of MERS cases has posed a serious threat to public health worldwide, calling for development of safe and effective MERS vaccines."
23,The outbreak of coronavirus disease 2019 (COVID-19) in Wuhan has aroused widespread concern and attention from all over the world.
24,The Bayesian phylogeographic reconstruction shows that the 2019–2020 nCoV most probably originated from the Bat SARS-like Coronavirus circulating in the Rhinolophus bat family.
25,Coronavirus COVID-19 spreads through the population mostly based on social contact.
26,The encoded domains are used first in a triage to identify potential Coronaviridae sequences and then processed using a Random Forest method to classify the sequences to the Coronaviridae genus level.
27,The transmission of the virus was expected to be from the camels found in Middle Eastern countries via the animal and human interaction.
28,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) is an emerging zoonotic virus considered as one of the major public threat with a total number of 2 298 laboratory-confirmed cases and 811 associated deaths reported by World Health Organization as of January 2019.
29,Majority of these viruses are responsible for the outbreaks of pathogenic lethal infections.
30,2019-nCoV which was identified is a kind of beta coronavirus belongs to one of four coronavirus genera.
31, The origins and evolutionary history of the Severe Acute Respiratory Syndrome (SARS) coronavirus (SARS-CoV) remain an issue of uncertainty and debate.
32,World Health Organization has declared the ongoing outbreak of coronavirus disease 2019 (COVID-19) a Public Health Emergency of International Concern.
