,sent
0,"However, no specific antiviral treatments or vaccines are available yet."
1,"The patent analysis of coronavirus-related biologics includes therapeutic antibodies, cytokines, and nucleic acid-based therapies targeting virus gene expression as well as various types of vaccines."
2,Infectious bronchitis (IB) is a highly contagious disease of economic importance in the poultry industry caused by the coronavirus infectious bronchitis virus (IBV).
3,"However, discrimination and prejudice driven by fear or misinformation have been flowing globally, superseding evidence and jeopardizing the anti-severe acute respiratory syndrome coronavirus 2 efforts."
4,"Next, using metagenomic samples from Manis javanica, we assembled a draft genome of the 2019-nCoV-like coronavirus, which shows 73% coverage and 91% sequence identity to the 2019-nCoV genome."
5,Comparison to a commercial whole inactivated virus vaccine also showed evidence of superior antiviral protection by the sVLPs.
6, The coronavirus (CoV) family consists of viruses that infects a variety of animals including humans with various levels of respiratory and fecal-oral transmission levels depending on the behavior of the viruses' natural hosts and optimal viral fitness.
7,Phylogenetic analysis of these 2019-nCoV genomes and those of other coronaviruses was used to determine the evolutionary history of the virus and help infer its likely origin.
8,"Options for the prevention or therapy of HCV infection are limited; there is no vaccine and the nonspecific, interferon-based treatments now in use are frequently ineffective and have significant side effects."
9,"These results, together with previously recorded epidemics, suggest a recurring pattern of periodical epizootic outbreaks due to Betacoronavirus."
10,"These coronaviruses are associated with novel respiratory syndromes that spread from person-to-person via close contact, resulting in high morbidity and mortality caused by the progression to Acute Respiratory Distress Syndrome (ARDS)."
11,Coronavirus 2019-nCoV: Is the genie already out of the bottle?
12,"Here, we report a novel bat-origin CoV causing severe and fatal pneumonia in humans."
13,"In this study, we compared the immunogenicity and protection efficacy of recombinant proteins corresponding to different domains of the SARS-coronavirus spike protein."
14,"Until recently, the relatively low burden of disease in humans caused by few of these viruses hampered development of coronavirus specific therapeutics."
15,"Through different inoculation routes, MHV-A59 can provide animal models for encephalitis, hepatitis and pneumonia to explore viral life machinery and virus-host interactions."
16,C3A is a sub-clone of human hepatoblastoma HepG2 cell line with the strong contact inhibition of growth.
17,"In dromedary camels, the virus only causes a mild infection but it spreads efficiently between animals."
18,"EK1C4 was also highly effective against membrane fusion and infection of other human coronavirus pseudoviruses tested, including SARS-CoV and MERS-CoV, as well as SARSr-CoVs, and potently inhibited the replication of 5 live human coronaviruses examined, including SARS-CoV-2."
19,We report the first findings of measurable clinical disease in nonhuman primates (NHPs) infected with SARS-CoV.
20,"Thus, the establishment of BP-caKII and the identified mutations in this study may provide insight into the genetic background of embryo and cold adaptations, and the attenuation of coronaviruses."
21, The emergence of the severe acute respiratory syndrome coronavirus (SARS-CoV) has led to a renewed interest in studying the role of accessory proteins in regulating coronavirus infections in the natural host.
22,"Results The genome of 2019-nCoV partially resembled SARS-CoV and MERS-CoV, and indicating a bat origin."
23,"To develop specific anti-coronavirus therapeutics and prophylactics, the molecular mechanism that underlies viral infection must first be defined."
24," Background Since June, 2012, Middle East respiratory syndrome coronavirus (MERS-CoV) has, worldwide, caused 104 infections in people including 49 deaths, with 82 cases and 41 deaths reported from Saudi Arabia."
25,: Nonpharmaceutical intervention strategy is significantly important to mitigate the coronavirus disease 2019 (COVID-19) spread.
26,"Coronaviruses will likely continue to emerge, arguing for a unified “One Health” approach."
27, Several small animal models have been developed for the study of severe acute respiratory syndrome coronavirus (SARS-CoV) replication and pathogenesis.
28,"In this review, we summarize the current progress towards a MERS-CoV vaccine and highlight potential roadblocks identified from previous attempts to generate coronavirus vaccines."
29,"The initial source of the 2019 novel coronavirus (2019-nCoV) was the Huanan seafood market in Wuhan, Hubei province, China, with pangolins as a potential animal host."
30,We showed that in vitro and in vivo infections across the species barrier differ in their requirements.
