,pid,newpid,category,sent,newscore,answer,keyword,question
0,zb434ve3,759,drug,"Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",0.6577802709735465,darunavir are all designed to target viral proteinases,darunavir,Can darunavir treat COVID-19
1,cszqykpu,682,drug,"Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",0.6576696088158361,darunavir are all designed to target viral proteinases,darunavir,Can darunavir treat COVID-19
2,yf5g53a9,819,drug,"Chloroquine, remdesivir, lopinavir, ribavirin and ritonavir have shown efficacy to inhibit coronavirus in vitro.",0.6575014694541313,inhibit coronavirus in vitro,ritonavir,Can ritonavir treat COVID-19
3,qdt90c22,543,drug,"Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease.",0.6569587708171037,strong interaction with the active site of sars-cov-2 main protease .,Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
4,vbgf50os,623,drug,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19).",0.6568432313323443,might have therapeutic effect on coronavirus disease 2019,ritonavir,Can ritonavir treat COVID-19
5,zb434ve3,761,drug,"In addition, we also found that several antiviral agents, such as Kaletra (lopinavir/ritonavir), could be used for the treatment of SARS-CoV-2.",0.6565302187824577,could be used for the treatment of sars-cov-2,Kaletra,Can Kaletra treat COVID-19
6,d7n1zy0b,752,drug,"Key findings The results suggest the effectiveness of Sofosbuvir, IDX-184, Ribavirin, and Remidisvir as potent drugs against the newly emerged HCoV disease.",0.6543204620107183,hcov disease,IDX-184,Can IDX-184 treat COVID-19
7,vbgf50os,625,drug,"Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes.",0.6539611736550388,darunavir,darunavir,Can darunavir treat COVID-19
8,d7n1zy0b,751,drug,"Additionally, the newly emerged Wuhan HCoV RdRp model is targeted by anti-polymerase drugs, including the approved drugs Sofosbuvir and Ribavirin.",0.6531381803356765,wuhan hcov rdrp model is targeted by anti-polymerase drugs,Huaier Granule,Can Huaier Granule treat COVID-19
9,cszqykpu,684,drug,"In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction.",0.6521726148009355,could be used for the treatment of 2019-ncov,Kaletra,Can Kaletra treat COVID-19
10,679qfp2s,233,drug,The in vitro antiviral activity of darunavir against a clinical isolate from a patient infected with SARS-CoV-2 was assessed.,0.6521321771888687,the in vitro antiviral activity of darunavir against a clinical isolate from a patient infected with sars-cov-2,darunavir,Can darunavir treat COVID-19
11,ptnmtvzj,1002,drug,"Eighteen studies reported potential drug-related adverse effects including gastrointestinal symptoms, anemia, and altered liver function in patients receiving ribavirin.",0.6517189496921091,ribavirin,AZT,Can AZT treat COVID-19
12,m0hivi0u,888,drug,"Our results show that darunavir has the best binding affinity with SARS-CoV-2 and SARS-CoV 3CLpro among all inhibitors, indicating it has the potential to become an anti-COVID-19 clinical drug.",0.651578946972708,it has the potential to become an anti-covid-19 clinical drug,darunavir,Can darunavir treat COVID-19
13,yd7tu7u4,1096,drug,"Up to 10 commercial medicines that may form hydrogen bounds to key residues within the binding pocket of 2019-nCoV Mpro were identified, which may have higher mutation tolerance than lopinavir/ritonavir and may also function as inhibitors for other coronaviruses with similar Mpro binding sites and pocket structures.",0.6514326279411684,may have higher mutation tolerance,lopinavir,Can lopinavir treat COVID-19
14,vbgf50os,627,drug,"It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP.",0.6513793155837099,ritonavir may have stronger efficacy,ritonavir,Can ritonavir treat COVID-19
15,ptnmtvzj,999,drug,One trial found that ribavirin prophylactic treatment statistically significantly reduced risk of MERS infection in people who had been exposed to the virus.,0.6508211321308115,ribavirin prophylactic treatment statistically significantly reduced risk of mers infection,ribavirin,Can ribavirin treat COVID-19
16,m0hivi0u,887,drug,Two docking complexes (indinavir and darunavir) with high docking scores were futher subjected to MM-PBSA binding free energy calculations to detail the molecular interactions between these two proteinase inhibitors and the 3CLpro.,0.6506504225540697,darunavir ) with high docking scores were futher subjected to mm-pbsa binding free energy calculations to detail the molecular interactions between these two proteinase inhibitors,darunavir,Can darunavir treat COVID-19
17,679qfp2s,235,drug,"Remdesivir, used as a positive control, showed potent antiviral activity (EC50 = 0.38 μM).",0.6503588668444947,"remdesivir , used as a positive control , showed potent antiviral activity",ritonavir,Can ritonavir treat COVID-19
18,ptnmtvzj,996,drug,"The most common treatment was ribavirin (n=41), followed by oseltamivir (n=10) and the combination of lopinavir/ritonavir (n=7).",0.6501797136370225,the most common treatment was ribavirin,Huaier Granule,Can Huaier Granule treat COVID-19
