,sent
0,"2019-nCoV, which is a novel coronavirus emerged in Wuhan, China, at the end of 2019, has caused at least infected 11,844 as of Feb 1, 2020."
1, Background Cancer patients are regarded as a highly vulnerable group in the current Coronavirus Disease 2019 (COVID-19) pandemic.
2,"(4) The prealbumin, CD3 T cells, CD4 T cells and CD8 T cells in the new coronavirus pneumonia group were significantly lower than those in the normal control group, and the hypersensitive c-reactive protein was higher than that in the normal control group."
3,A newly identified novel coronavirus (2019-nCoV) has caused numerous acute respiratory syndrome cases in Wuhan China from December 2019 to Feb 2020.
4,"wo US biotech firms have positioned themselves as front-runners fighting the novel coronavirus, called SARS-CoV-2."
5,"Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes."
6,: Medicines for the treatment of 2019-novel coronavirus (2019-nCoV) infections are urgently needed.
7,"With the hope to identify candidate drugs for 2019-nCoV, we adopted a computational approach to screen for available commercial medicines which may function as inhibitors for the Mpro of 2019-nCoV."
8,"The correlation of NAb titers with age, lymphocyte counts, and blood CRP levels suggested that the interplay between virus and host immune response in coronavirus infections should be further explored for the development of effective vaccine against SARS-CoV-2 virus."
9, The coronavirus (COVID-19) pandemic has caused the world to undergo unprecedented change in a short space of time.
10,"This review in the hope of helping the public effectively recognize and deal with the 2019 novel coronavirus (SARS-CoV-2), and providing a reference for future studies."
11,"We systematically analyzed all the proteins encoded by SARS-CoV-2 genes, compared them with proteins from other coronaviruses, predicted their structures, and built 19 structures that could be done by homology modeling."
12,"The published cohorts of 2019 new Coronavirus (n-Cov) are single-center studies, or retrospective studies."
13,"In this study, the structure models of two severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) proteases, coronavirus endopeptidase C30 (CEP_C30) and papain like viral protease (PLVP), were built by homology modeling."
14,"On the same day, Moderna said it had shipped its experimental coronavirus vaccine to the NIH, which will conduct a Phase I trial to assess its safety."
15,"(15:24) - Risk groups (children, the elderly, pregnant women) (16:26) - Containment vs mitigation vs quarantine vs isolation (19:10) - Protecting the elderly and nursing home resident (23:52) - Public health prospects in Latin America, Africa (26:35) - Will coronavirus wane in warmer months like influenza?"
16,"The outbreak of the novel coronavirus disease COVID-19, caused by the SARS-CoV-2 virus has spread rapidly around the globe during the past 3 months."
17,The virus shares a high level of identity with some bat coronaviruses and is recognised as a potentially zoonotic virus.
18,"Coronavirus testing, mortality, vaccine development, containment vs mitigation, and more."
19,"Recently, a new emerged HCoV isolated from the respiratory epithelium of unexplained pneumonia patients in the Wuhan seafood market caused a major disease outbreak and has been named the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)."
20, The SARS-CoV-2 is a new human coronavirus candidate recently detected in China that is now reported in people on inhabited continents.
21,"Methods: Consecutively confirmed novel coronavirus infection cases admitted to seven designated hospitals during January 23, 2020 to February 8, 2020 were included."
22,ABSTRACT The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2; previously provisionally named 2019 novel coronavirus or 2019-nCoV) disease (COVID-19) in China at the end of 2019 has caused a large global outbreak and is a major public health issue.
23," The infection of a novel coronavirus found in Wuhan of China (SARS-CoV-2) is rapidly spreading, and the incidence rate is increasing worldwide."
24,"To develop broad spectrum anti-viral agents, we further describe a novel strategy to design and synthesize viral polymerase inhibitors, by combining the ProTide Prodrug approach used in the development of Sofosbuvir with the use of 3’-blocking groups that we have previously built into nucleotide analogues that function as polymerase terminators."
25,The novel Coronavirus (SARS-CoV-2) is a one health issue
26,"Literature searches were performed using keywords including “Coronavirus 2019”, “2019-nCoV”, “COVID-19”, and “SARS-CoV-2”."
27,"Within this library, ciclesonide, an inhaled corticosteroid, suppressed human coronavirus replication in cultured cells, but did not suppress replication of respiratory syncytial virus or influenza virus."
28,Voice from China: nomenclature of the novel coronavirus and related diseases
29,"The New Coronavirus Pneumonia (NCP, also named as COVID-19 by WHO on Feb 11 2020, is now causing a severe public health emergency in China since."
