,sent
0,"Rhinovirus was the most prevalent virus (66%), followed by parainfluenza (19%), and coronavirus (16%)."
1,"Here we discuss the most recent studies on the structure of the MERS-CoV spike protein and its role in virus binding and entry, and the development of MERS-CoV entry/fusion inhibitors targeting the S1 subunit, particularly the receptor-binding domain (RBD), and the S2 subunit, especially the HR1 region, of the MERS-CoV spike protein."
2,": The current standard care therapy for hepatitis C virus (HCV) infection consists of two regimes, namely interferon-based and interferon-free treatments."
3," Coronaviruses may cause respiratory, enteric and central nervous system diseases in many species, including humans."
4,"We previously demonstrated that four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide) inhibit the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp)."
5," Middle East respiratory syndrome coronavirus (MERS-CoV), an emerging infectious disease of growing global importance, has caused severe acute respiratory disease in more than 1600 people, resulting in more than 600 deaths."
6,"In 2005, a new human coronavirus, HCoV-HKU1, was identified in Hong Kong."
7,"All healthcare facilities need to have policies and plans in place for early identification of patients with a highly communicable diseases which are highly virulent, ability to immediately isolate such patients, and provide proper management (e.g., training and availability of personal protective equipment) to prevent transmission to healthcare personnel, other patients and visitors to the healthcare facility."
8," Initial in vitro investigations demonstrated type I interferons (IFNs: IFN-α, IFN-β) to inhibit replication of SARS coronavirus (SARS-CoV), but found the nucleoside analogue ribavirin ineffective in Vero cells."
9,"In 2015, HBV accounted for about half the cases of hepatocellular carcinoma in the region."
10,No randomized controlled trials with a specific anti-coronavirus agent have been conducted with respect to therapy or prophylaxis.
11,"Apart from its well-known antimalarial effects, the drug has interesting biochemical properties that might be applied against some viral infections."
12,Prophylactics and therapies are urgently needed to address this public health problem.
13,"Using quadratic discriminant analysis, human metapneumovirus, C. pneumoniae, coronavirus 043, influenza virus C virus, rhinovirus and cytomegalovirus best discriminated children with definite-TB from the other groups of children."
14,In this review we will discuss the substantial scientific progress that has been made towards understanding the virus—SARS coronavirus (SARS-CoV)—and the disease.
15,"2019 Novel Coronavirus (2019-nCoV) is an emerging infectious disease closely related to MERS-CoV and SARS-CoV that was first reported in Wuhan City, Hubei Province, China in December 2019."
16,The mean number of days with a total symptom score >4 was 1.6 in the placebo recipients and 0.5 in the rIFN recipients (P = .02).
17,"More than 40 monoclonal antibodies (mAbs) have been approved for a number of disease indications with only one of these (Synagis) — for a viral disease, and not for therapy but for prevention."
18,"The pathogen is spread by human-to-human transmission via droplets exposure and contact transfer, causing mild symptoms in the majority of cases, but critical illness, bilateral viral pneumonia, and acute respiratory distress syndrome (ARDS) in a minority."
19,The Middle East respiratory syndrome coronavirus (MERS-CoV) is a zoonotic betacoronavirus that was first detected in humans in 2012 as a cause of severe acute respiratory disease.
20,"The emergence of severe acute respiratory syndrome in 2003 and Middle East respiratory syndrome coronavirus in 2012, highlights the fact that other serious respiratory viral infections in humans may originate in animals."
