,sent
0,"There are many contributing factors to this increased demand, including the ever-increasing prevalence of chronic viral infections such as HIV and hepatitis B and C, and the emergence of new viruses such as the SARS coronavirus."
1,"Middle East respiratory syndrome coronavirus (MERS-CoV), an emerging infectious disease of growing global importance, has caused severe acute respiratory disease in more than 1600 people, resulting in almost 600 deaths."
2,9.
3,"For other viruses, such as rhinoviruses, coronaviruses, human bocavirus and parainfluenza virus type 4, culture and antigen-based procedures are not available and/or lack sensitivity."
4,"The discovery of the SARS-CoV, which caused an outbreak of >8000 people in >30 countries with fatality of about 10%, resulted in intense search for novel coronaviruses with potentially high pathogenicity."
5,"Human-to-human transmission via droplets, contaminated hands or surfaces has been described, with incubation times of 2-14 days."
6,"To meet this challenge, this article discusses advances in the research and development of neutralizing antibodies (nAbs) for the prevention and treatment of infection by SARS-CoV-2 and other human CoVs."
7," Since no randomized controlled trials have been conducted on the treatment of viral pneumonia by antivirals or immunomodulators in immunocompetent adults, a review of such anecdotal experience are needed for the more rational use of such agents."
8, Background Severe acute respiratory syndrome (SARS) coronavirus-like viruses continue to circulate in animal reservoirs.
9,"To this end, we compared the Rapid Diagnostic Kit of Canine Parvovirus, Coronavirus and Rotavirus antigen (Quicking®) to PCR, which is considered as the most reliable diagnostic method."
10,"Recently, several potent human monoclonal antibodies (hmAbs) targeting the Severe Acute Respiratory Syndrome-Associated coronavirus (SARS CoV) S glycoproteins were developed quickly after the virus was identified in 2003."
11,There are currently no licensed vaccines or treatments for SARS-CoV infections.
12,A striking feature of MERS is the important role that camels have in transmission.
13,"The others have been approved for the therapy of herpesvirus (herpes simplex virus (HSV), varicella-zoster virus (VZV), cytomegalovirus (CMV)), hepadnavirus (hepatitis B virus (HBV)), hepacivirus (hepatitis C virus (HCV)), and myxovirus (influenza, respiratory synctural virus (RSV)) infections."
14,"The development of new antiviral drugs is very much a work in progress, with active drug discovery programs for filoviruses, coronaviruses, dengue, and others."
15, The nucleocapsid (N) protein of SARS-coronavirus (SARS-CoV) is the key protein for the formation of the helical nucleocapsid during virion assembly.
16,"Of those infected with only rhinovirus or coronavirus, underlying cardiopulmonary diseases were present in 35% of the patients aged <5 years, in 93% aged between 5 and 35 years, and in 73% aged >35 years."
17,Human monoclonal antibodies (MAbs) that neutralize SARS-associated coronavirus (SARSCoV) could provide protection for exposed individuals.
18,"To date, one product (palivizumab) has been approved and eight candidates are currently in clinical study."
19, The pandemic outbreak of coronavirus disease 2019 (COVID-19) is rapidly spreading all over the world.
20,A novel coronavirus (CoV) was identified as its aetiological agent and its genome was sequenced within months of the World Health Organisation issuing a global threat on SARS.
21,"However, there is no consensus regarding PEP for Middle East respiratory syndrome coronavirus (MERS-CoV) infection."
22,Introduction: The Middle East Respiratory Syndrome Coronavirus (MERS-CoV) is an important emerging respiratory pathogen.
23,"Unfortunately, there is limited experience with coronavirus infections during pregnancy, and it now appears certain that pregnant women have become infected during the present 2019-nCoV epidemic."
24, Effective antiviral agents are urgently needed to combat the possible return of severe acute respiratory syndrome (SARS).
25,"The most common viruses detected included metapneumovirus (19 %), rhinovirus (15 %), influenza virus C (9 %), adenovirus (7 %), cytomegalovirus (7 %) and coronavirus O43 (5.6 %)."
26,Only after the emergence in 2002 of SARS in human has new attention been focused on coronaviruses.
27,Two examples of viral diseases that have emerged from areas of high incidence of chloroquine-resistant malaria are AIDS from HIV and SARS from coronavirus.
28,"Recent endeavours have focussed on the development of improved antiviral therapies for virus infections that have already proved amenable to antiviral drug treatment, as well as for virus infections for which, at present, no antiviral drugs have been formally approved (i.e."
29,The versatility of the vector system was recently demonstrated by the rapid production of experimental MVA vaccines for immunization against severe acute respiratory syndrome associated coronavirus.
30,The human coronaviruses (HCoV) OC43 and 229E are common causes of upper respiratory tract infections.
31," Recently, canine coronavirus (CCoV) strains with putative recombinant origin with porcine transmissible gastroenteritis virus (TGEV) were shown to be widespread in Europe."
32,"The RespiFinder-19 and the RespiFinder-SMART-22 showed a higher analytical sensitivity for adenoviruses and coronaviruses, whereas the RVP was incapable to detect adenovirus and coronavirus in concentrations of 10(4) copies/ml."
33,"The optimal management of these infections is limited by the overall paucity of available treatment, highlighting the need for new antiviral drug or immunotherapies."
34,"Notably, given that teicoplanin has routinely been used in the clinic with low toxicity, our work provides a promising prospect for the prophylaxis and treatment of Ebola, MERS, and SARS virus infection."
35," The recent outbreak of Middle East respiratory syndrome (MERS) coronavirus (MERS-CoV) infection has led to more than 800 laboratory-confirmed MERS cases with a high case fatality rate (∼35%), posing a serious threat to global public health and calling for the development of effective and safe therapeutic and prophylactic strategies to treat and prevent MERS-CoV infection."
36,"Influenza, coronavirus or rhinovirus were detected in three participants; all in the placebo group."
37,No licensed specific drugs are available to prevent their infection.
38,This may in turn inform the types of drugs that we need for virus outbreaks such as for the new coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).
39,This dramatic advance is about to be recapitulated for the treatment of hepatitis C virus (HCV) infection.
40,"Bovine coronavirus (BCoV) is a recognized cause of severe neonatal calf diarrhea, with a negative impact on animal welfare, leading to economic losses to the livestock industry."
41,"Infections due to the bloodborne pathogens (hepatitis B virus, hepatitis C virus, and human immunodeficiency virus) remain the most common reported viral infections, whereas the dimorphic fungi are responsible for the greatest number of fungal infections."
42,"RECENT FINDINGS: Although most mechanisms of transmission and control measures of nosocomial viral infections are already known, improved diagnostic tools allow better characterization of these infections and also lead to the discovery of new viruses such as the coronavirus, which is the cause of the Middle East Respiratory Syndrome, or the human bocavirus."
43,The virus was first recognized in 2012 and it is associated with a lower respiratory tract disease that is more severe in patients with comorbidities.
44,Genetic diversity and potential recombination between ferret coronaviruses from European and American lineages
45,"More than 40 compounds have been formally licensed for clinical use as antiviral drugs, and half of these are used for the treatment of human immunodeficiency virus (HIV) infections."
46,The most common virus families that cause ARS are coronavirus and rhinovirus.
47,"Cytomegalovirus (CMV) pneumonia was recognized in as many as 4 cases and coronavirus pulmonary infection was diagnosed in one case, whereas Pneumocystis jiroveci was identified as a co-pathogen in one CMV-infected patient."
48,"Since the first identification of the virus in 1971, the disease caused by canine coronavirus (CCoV) has not been adequately investigated, and the role that the virus plays in canine enteric illness has not been well established."
49,Effective prophylaxis and antiviral therapies are urgently needed in the event of reemergence of the highly contagious and often fatal severe acute respiratory syndrome (SARS) coronavirus (SARS-CoV) infection.
50,The outbreak of a new coronavirus (severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]) in China in December 2019 has brought serious challenges to disease prevention and public health.
51,Our data suggest that Hiltonol® treatment of SARS-CoV infection in mice leads to substantial prophylactic and therapeutic effects and could be used for treatment of other virus disease such as those caused by MERS-CoV a related coronavirus.
52,"The recent emergence of another coronavirus causing severe disease, Middle East respiratory syndrome (MERS), in humans, has made it clear that coronaviruses pose a major threat to human health, and that more research is urgently needed to elucidate their replication mechanisms, identify potential drug targets, and develop effective countermeasures."
53,"Coronaviruses are also a threat for humans, as evidenced in 2002/2003 with infection by the severe acute respiratory syndrome coronavirus (SARS-CoV), which caused more than 8000 human infections with 10% fatality rate in 37 countries."
54, The causative agent of Severe Acute Respiratory Syndrome (SARS) was identified as a coronavirus (CoV) following the outbreak of 2002–2003.
55,Vaccination allowed smallpox eradication and limits global measles and seasonal influenza mortality.
56,The infected BALB/c mice receiving the Hiltonol® treatments were also significantly effective in protecting mice against weight loss due to infection (p < 0.001).
57, The recent Middle East respiratory syndrome coronavirus (MERS-CoV) outbreak poses a serious threat to public health.
58,Vaccine against Middle East respiratory syndrome coronavirus
59,Coronavirus replication offers several attractive targets for chemotherapy.
60,"While SARS-coronavirus (CoV) is no longer circulating, MERS-CoV and zoonotic influenza viruses, with pandemic potential, remain persistent threats."
61,Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease.
62,The virus is highly contagious and avoiding contact with infected dogs and their excretions is the only way to ensure disease prevention.
63,"Middle East respiratory syndrome coronavirus (MERS-CoV) still causes outbreaks despite public awareness and implementation of health care measures, such as rapid viral diagnosis and patient quarantine."
64,Enhanced genetic surveillance will assist and boost research and development into new antiviral drugs and vaccines for these viruses.
65,"Here, we summarize the potential monoclonal antibody based therapeutic intervention for COVID-19 by considering the existing knowledge on the neutralizing monoclonal antibodies against similar coronaviruses SARS-CoV and MERS-CoV."
66,"The authors of this commentary provide guidance for clinical decision making for patients with coronavirus disease 2019 as well as for patients with rheumatologic conditions, such as systemic lupus erythematosus and rheumatoid arthritis"
67,"It is timely to systematically review the potential of these interventions, including those for Middle East respiratory syndrome-Coronavirus (MERS-CoV) and severe acute respiratory syndrome (SARS)-CoV, to guide policymakers globally on their prioritization of resources for research and development."
68,The severe acute respiratory syndrome (SARS) is a newly identified infectious disease caused by a novel zoonotic coronavirus (SARS-CoV) with unknown animal reservoirs.
69,"Method We developed a mathematical model to investigate the effects of hospital admission and targeted antibody prophylaxis on the reproduction number R, defined as the number of secondary cases generated by an index case, during different SARS outbreak scenarios."
70,"Therapy for human immunodeficiency virus (HIV) infection has demonstrated that the potential impact antivirals can have on a lethal, chronic infection with lifesaving therapy administered to more than 12million individuals by 2015."
71,"A novel coronavirus (2019-nCoV) originating in Wuhan, China presents a potential respiratory viral pandemic to the world population."
72,"All health care personnel, trainees, and support staff should be trained in infection control management and containment to prevent spread of the SARS virus."
73,"The emergence of new pathogens, such as severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and Ebola virus, poses serious challenges to global public health and highlights the urgent need for novel antiviral approaches."
74,"Until recently, the relatively low burden of disease in humans caused by few of these viruses hampered development of coronavirus specific therapeutics."
75,Prophylactic intranasal rIFN effectively shortened the duration and reduced the severity of coronavirus cold symptoms.
76,"Even with steroid therapy alone, the mortality rate appeared to be lower when compared with conservative treatment for pneumonia caused by human influenza virus (12.5% vs. 42.1%) and hantavirus (13.3% vs. 63.4%)."
77,The first prospective cohort study to determine the prevalence of rhinovirus and coronavirus infections in patients of all ages hospitalized for acute respiratory illnesses is described.
78,"Background: Globally, the novel coronavirus, is a public health problem causing respiratory infections."
79,"CoV main proteases (M(pro)s), which are key enzymes in viral gene expression and replication, were revealed to share a highly conservative substrate-recognition pocket by comparison of four crystal structures and a homology model representing all three genetic clusters of the genus Coronavirus."
80,"In the absence of a rapid diagnostic test, therapy or vaccine, isolation of individuals diagnosed with SARS and quarantine of individuals feared exposed to SARS virus were used to control the spread of infection."
81,"Bats are being increasingly recognized as reservoir hosts of highly pathogenic and zoonotic emerging viruses (Marburg virus, Nipah virus, Hendra virus, Rabies virus, and coronaviruses)."
82,"Until December 2016, MERS has accounted for more than 1800 cases and 35% fatality rate."
83,"Nearly 35,000 cases were reported and at least 24 other countries or territories have reported coronavirus cases as early on as February."
84,: Experimental animal data show that protection against severe acute respiratory syndrome coronavirus (SARS-CoV) infection with human monoclonal antibodies (mAbs) is feasible.
85,MATERIALS AND METHODS: The object of research was 45 black motley cows and their calves from birth to 2 months of life.
86, Canine coronavirus (CCoV) is responsible for mild or moderate enteritis in puppies.
87,"We conducted a review of the indications of the main drug agencies (Spanish, European and American) and other possible indications, mainly haemorrhagic fevers and coronavirus."
