pid,title,abstract
k05cdqlw,A case of 2019 Novel Coronavirus in a pregnant woman with preterm delivery,We presented a case of a 30-week pregnant woman with COVID-19 delivering a healthy baby with no evidence of COVID-19.
u3gmpklc,High-Dose Intravenous Immunoglobulin as a Therapeutic Option for Deteriorating Patients With Coronavirus Disease 2019,"The outbreak of coronavirus disease 2019 (COVID-19) has spread rapidly in China. Until now, no definite effective treatment has been identified. We reported on 3 patients with severe COVID-19 who received high-dose intravenous immunoglobulin (IVIg) with satisfactory recovery. Based on these observations, randomized studies of high-dose IVIg should be considered in deteriorating patients infected with COVID-19."
mfiaubqb,The missing pieces in the jigsaw and need for cohesive research amidst COVID 19 global response,The missing pieces in the jigsaw and need for cohesive research amidst COVID 19 global response
iy9vjpuh,"Potential Maternal and Infant Outcomes from (Wuhan) Coronavirus 2019-nCoV Infecting Pregnant Women: Lessons from SARS, MERS, and Other Human Coronavirus Infections","In early December 2019 a cluster of cases of pneumonia of unknown cause was identified in Wuhan, a city of 11 million persons in the People&rsquo;s Republic of China. Further investigation revealed these cases to result from infection with a newly identified coronavirus, termed the 2019-nCoV. The infection moved rapidly through China, spread to Thailand and Japan, extended into adjacent countries through infected persons travelling by air, eventually reaching multiple countries and continents. Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human. In the early stages of this epidemic the case fatality rate is estimated to be approximately 2%, with the majority of deaths occurring in special populations. Unfortunately, there is limited experience with coronavirus infections during pregnancy, and it now appears certain that pregnant women have become infected during the present 2019-nCoV epidemic. In order to assess the potential of the Wuhan 2019-nCoV to cause maternal, fetal and neonatal morbidity and other poor obstetrical outcomes, this communication reviews the published data addressing the epidemiological and clinical effects of SARS, MERS, and other coronavirus infections on pregnant women and their infants. Recommendations are also made for the consideration of pregnant women in the design, clinical trials, and implementation of future 2019-nCoV vaccines."
q4u5t8zs,Head and neck oncology during the COVID-19 pandemic: Reconsidering traditional treatment paradigms in light of new surgical and other multilevel risks," The COVID-19 pandemic demands reassessment of head and neck oncology treatment paradigms. Head and neck cancer (HNC) patients are generally at high-risk for COVID-19 infection and severe adverse outcomes. Further, there are new, multilevel COVID-19-specific risks to patients, surgeons, health care workers (HCWs), institutions and society. Urgent guidance in the delivery of safe, quality head and neck oncologic care is needed. Novel barriers to safe HNC surgery include: 1) imperfect presurgical screening for COVID-19; 2) prolonged SARS-CoV-2 aerosolization; 3) occurrence of multiple, potentially lengthy, aerosol generating procedures (AGPs) within a single surgery; 4) potential incompatibility of enhanced personal protective equipment (PPE) with routine operative equipment; 5) existential or anticipated PPE shortages. Additionally, novel, COVID-19-specific multilevel risks to HNC patients, HCWs and institutions, and society include: use of immunosuppressive therapy, nosocomial COVID-19 transmission, institutional COVID-19 outbreaks, and, at some locations, societal resource deficiencies requiring health care rationing. Traditional head and neck oncology doctrines require reassessment given the extraordinary COVID-19-specific risks of surgery. Emergent, comprehensive management of these novel, multilevel surgical risks are needed. Until these risks are managed, we temporarily favor nonsurgical therapy over surgery for most mucosal squamous cell carcinomas, wherein surgery and nonsurgical therapy are both first-line options. Where surgery is traditionally preferred, we recommend multidisciplinary evaluation of multilevel surgical-risks, discussion of possible alternative nonsurgical therapies and shared-decision-making with the patient. Where surgery remains indicated, we recommend judicious preoperative planning and development of COVID-19-specific perioperative protocols to maximize the safety and quality of surgical and oncologic care."
wh3btcd4,Duration of quarantine in hospitalized patients with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection: a question needing an answer,"In December 2019 a new form of pneumonia was observed in the Chinese province of Hubei.[1] The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was subsequently identified as responsible of this condition, defined coronavirus disease (COVID-19).[2] The virus has now spread outside Chinese borders with 82,297 cases and 2,804 deaths worldwide at the 26th of February.[3] After infection, symptoms appear after an incubation time of 3-5 days, with 80% of those infected developing a mild disease, 15% a severe disease and 5% will require support in intensive care unit (ICU).[4] Overall, the estimated case-fatality rate is comprised between 0.4% and 2.9% and the basic reproduction number is approximately 3.28.[4,5] SARS-CoV-2 is a new pathogen for humankind and any type of immune protection exist, thus everybody can be potentially infected. Moreover, no primary prophylaxis measures (vaccination) nor effective treatments are available. If the above represented percentages are applied to the worldwide populations, it appears clear why any measure should be considered to avoid a further diffusion of the virus and prevent the saturation and collapse of health systems and the most catastrophic pandemic since 1919 Spanish flu. Isolation of those affected and the use of personal protective equipment (PPE) are the mainstay to block transmission of this pathogen, which is presumed through respiratory droplets. A 14 days quarantine is applied to subjects coming from endemic areas or who had contact with confirmed cases. It is assumed that, if in this period the subject does not develop any sign or symptoms compatible with COVID-19, he is not infected and thus the quarantine can be removed, and the subject returned to the community. Domiciliary quarantine of 14 days since a positive test is applied also for patients with a diagnosed mild disease who did not need medical support. These rules are effective in controlling infections in the community, but several doubts arise when it is necessary to transpose them in the hospital setting. Hospitals are indeed a delicate place in epidemics: they collect fragile persons who can be exposed to the virus and are subsequently readmitted to the community thus spreading the infection. Indeed, the ongoing outbreak in Northern Italy has been linked to a single infected patient who accessed to a community hospital where he transmitted the virus to several other patients and health-care operators.[6] Moreover, the isolation of patients in the hospital setting impose a significant burden in terms of PPE used by the health-care operators, space dedicated and time employed in their management. Even more complex is the situation of patients in ICU, where viral spreading is facilitated by endotracheal tubes and manoeuvres performed on the respiratory tract. Therefore, a clear definition of the infectiousness timing and intensity of viral spreading is mandatory to alleviate the burden on the health-care system. Unfortunately, the data available on the topic are scarce and composed only of measurements of viral shedding, without an assessment of the infectivity. Kim et al.[7] assessed the viral load kinetics of SARS-CoV-2 in upper and lower respiratory tract materials in the first two confirmed patients in Korea. They employed real-time reverse transcriptase polymerase chain reaction (rRT-PCR) to detect SARS-CoV-2 and converted cycle threshold (CT) values of rRT-PCR into RNA copy number. The detection limit of rRT-PCR was 2,690 copies/mL. Overall, viral load above detection limit was detected until 14 and 25 days after symptoms onset and for 13 and 11 days after the first detection, respectively.[7] Of note, both patients received treatment with lopinavir/ritonavir. Instead, Zou and colleagues analysed viral load in repeated nasal and throat swabs obtained from the 17 symptomatic patients.[8] They also employed rRT-PCR and considered a CT of 40 as detection limit. Higher viral loads were observed in nasal swabs and in samples collected soon after symptoms onset. Overall, only two patients prese ted positive samples, and only in nasal swab, 14 days after symptoms onset, and with low viral load. In conclusion, a larger amount of data about duration of viral spreading and infectivity in hospitalized patients, especially in ICU, is badly needed to better define quarantine period and avoid nosocomial transmission. Before their availability, the canonical 14 days period of quarantine should be respected."
cadudlt3,Labor and Delivery Guidance for COVID-19,Labor and Delivery Guidance for COVID-19
spo1lzyo,A case report of neonatal COVID-19 infection in China,"In December 2019, the 2019 novel coronavirus disease (COVID-19) caused by SARS-CoV-2 emerged in China and now has spread in many countries. Pregnant women are susceptible population of COVID-19 which are more likely to have complications and even progresse to severe illness. We report a case of neonatal COVID-19 infection in China with pharyngeal swabs tested positive by rRT-PCR assay 36 hours after birth. However, whether the case is a vertical transmission from mother to child remains to be confirmed."
4kc1k8nh,Maintaining HIV care during the COVID-19 pandemic,Maintaining HIV care during the COVID-19 pandemic
tun1ndt4,Working through the COVID-19 outbreak: Rapid review and recommendations for MSK and allied heath personnel," The coronavirus (COVID-19) pandemic has caused the world to undergo unprecedented change in a short space of time. This disease has devastated the economy, infringed personal freedom, and has taken a toll on healthcare systems worldwide. This review aims to highlight aspects of this pandemic with a specific emphasis on musculoskeletal work within the secondary care setting."
