,sent
0,"Here, using TGEV nsp1 as a model to explore the function of this protein in alphacoronaviruses, we demonstrate that alphacoronavirus nsp1 inhibits host gene expression."
1,"The design of the primers–probe combination enables the detection of all known FCoV strains and is also useful for the detection of canine coronavirus, transmissible gastroenteritis virus and porcine respiratory coronavirus."
2,"Sanofi will build on work on a vaccine against SARS, another coronavirus that circulated in the early 2000s."
3,"Within months of the SARS outbreak, collaborative work revealed the identity of the disastrous pathogen as SARS-associated coronavirus (SARS-CoV)."
4,"Here, we assessed antitumor immunity induced by attenuated coronavirus vectors which exclusively target DCs in vivo and express either lymphocyte- or DC-activating cytokines in combination with a GFP-tagged model antigen."
5,Developing effective and safe vaccines is urgently needed to prevent infection by severe acute respiratory syndrome (SARS)–associated coronavirus (SARS-CoV).
6,Identification of functional dominant epitopes in SARS CoV S protein for T cells is crucial for further understanding of cellular immune responses elicited by SARS CoV S DNA vaccine.
7,Notification of 2 imported cases of infection with Middle East respiratory syndrome coronavirus in the Netherlands triggered comprehensive monitoring of contacts.
8,"The avian coronavirus infectious bronchitis virus (IBV) is the causative agent of the respiratory disease infectious bronchitis of domestic fowl, and is controlled by routine vaccination."
9,Avian coronavirus infectious bronchitis virus (IBV) poses a major threat to the global poultry industry.
10,Hepatitis C virus (HCV) infects ∼2% of the world's population.
11,"In an initial attempt to develop a MERS-CoV vaccine to ultimately target dromedary camels, we constructed two recombinant adenoviral vectors encoding the full-length MERS-CoV S protein (Ad5.MERS-S) and the S1 extracellular domain of S protein (Ad5.MERS-S1)."
12,"RESULTS: M. catarrhalis (96%), H. influenzae (91%), S. pneumoniae (89%) and respiratory viruses (59%) were common; including rhinovirus (HRV) (38%), polyomavirus (HPyV) (14%), adenovirus (HAdV) (13%), bocavirus (HBoV) (8%) and coronavirus (HCoV) (4%)."
13,"To demonstrate its utility, we construct realistic models of two very different epidemic scenarios: cholera in a densely populated setting with limited access to clean drinking water and hepatitis C virus in an urban setting of injection-drug users."
14,"The amino acid sequence of the spike (S) protein, which is the principal target recognized by host immune cells, has multiple mutations that distinguish the two PEDV genotypes, G1 and G2."
15,Severe acute respiratory syndrome coronavirus (SARS-CoV) causes a respiratory disease with a mortality rate of 10%.
16,"The outbreak of pneumonia caused by a novel coronavirus (2019-nCoV) in Wuhan City of China obtained global concern, the population outflow from Wuhan has contributed to spatial expansion in other parts of China."
17,"Middle East respiratory syndrome coronavirus (MERS-CoV) has caused fatal infections, some through hospital-acquired transmission, in affected regions since its emergence in 2012."
18,"Enteric viruses including lapine rotavirus, rabbit enteric coronavirus and rabbit astrovirus are being acknowledged as contributors to the multifactorial enteritis complex of juvenile rabbits."
19,"Sequence analysis of four positive samples showed the presence of a coronavirus with high similarity to both bovine and human coronavirus (strain OC43) in their polymerase and spike genes, whereas there was a low similarity to comparable genes in the enteric canine coronavirus."
