,sent
0,Evaluations of an inactivated whole virus vaccine in ferrets and nonhuman primates and a virus-like-particle vaccine in mice induced protection against infection but challenged animals exhibited an immunopathologic-type lung disease.
1,Interpretation MNA delivery of coronaviruses-S1 subunit vaccines is a promising immunization strategy against coronavirus infection.
2," Commercial vaccines for in ovo vaccination have not yet been developed for infectious bronchitis virus (IBV), the major coronavirus in the poultry industry."
3, Bovine respiratory syncytial virus (BRSV) and bovine coronavirus (BCoV) are considered widespread among cattle in Norway and worldwide.
4,We highlight the current state of knowledge of coronavirus biology while answering questions concerning the current outbreak of SARS-CoV-2.
5," Coronaviruses, which are single stranded, positive sense RNA viruses, are responsible for a wide variety of existing and emerging diseases in humans and other animals."
6,PEDV is an alpha-coronavirus replicating primarily in porcine intestinal cells.
7,"The SARS-CoV part covers the pathogenesis of SARS, the developing animal models for infection, and the progress in vaccine development and antiviral therapies."
8, Introduction Middle East Respiratory Coronavirus Virus (MERS-CoV) first emerged from Saudi Arabia in 2012 and has since been recognized as a significant human respiratory pathogen on a global level.
9,"The whole killed virus vaccine was comprised of SARS-CoV, propagated in Vero-E6 cells, with subsequent β-propilactone inactivation and formulated with aluminum hydroxide adjuvant."
10," In September 2012, a novel coronavirus was isolated from a patient who died in Saudi Arabia after presenting with acute respiratory distress and acute kidney injury."
11,Canine parvovirus (CPV) and canine coronavirus (CCoV) are considered the main pathogens responsible for acute gastroenteritis in dogs.
12,"As the subgroup 2 strains have not been isolated for at least 20 years, it appears likely that an unknown avian coronavirus that was the donor of the S1 glycoprotein sequence of N1/88 in the 1980s is still recombining with IBV strains in the field."
13,"On the basis of ELISA antibody titers obtained in sera from the cats experimentally infected with CCV and from the spontaneous feline infectious peritonitis (FIP) cases, the ELISA described in the present study was found to be applicable as a simple and easy serologic test which was able to detect anti-coronavirus antibodies as efficiently as the indirect immunofluorescence assay with homologous FIP virus."
14,"We have developed an experimental SARS vaccine for direct immunisation of the respiratory tract, the major site of SARS-coronavirus transmission and disease."
15,"Middle East respiratory syndrome coronavirus (MERS-CoV) is a novel zoonotic virus that causes severe respiratory disease in humans with a case fatality rate close to 40%, but for which no vaccines are available."
16, Porcine epidemic diarrhea virus (PEDV) is a highly pathogenic enteric coronavirus causing lethal watery diarrhea in suckling piglets.
17,"AIM: To find a soluble and functional recombinant receptor-binding domain of severe acute respiratory syndrome-associated coronavirus (SARS-Cov), and to analyze its receptor binding ability."
18,"In this study, the variations in the N proteins among 13 different coronaviruses (CoVs) were analysed at the nucleotide and amino acid levels in an attempt to reveal how these viruses adapt to their hosts relative to their preferred codon usage in the N genes."
19,An intranasal temperature-sensitive feline infectious peritonitis coronavirus vaccine is available for use in healthy cats 16 weeks of age or older.
20,"Bat SARS-like coronavirus (SL-CoV) has a genome organization almost identical to that of SARS-CoV, but the N-terminus of the Spike (S) proteins, which interacts with host receptor and is a major target of neutralizing antibodies against CoVs, of the two viruses has only 63–64% sequence identity."
21,These observations provide a basis for understanding the molecular mechanisms that drive the earliest stages of alphacoronavirus infection and will inform future efforts to rationally design vaccines.
22, Development of vaccines against severe acute respiratory syndrome (SARS) coronavirus (SARS-CoV) is crucial in the prevention of SARS reemergence.
23,"PCR and RT-PCR were performed for influenza A/B, human parainfluenza virus 1–4, adenovirus, human metapneumovirus (HMPV), respiratory syncytial virus (RSV), rhinovirus, enterovirus, human coronavirus and human Bocavirus (HBoV)."
24,"Results showed that both SARS coronavirus strains have high genetic stability, although nearly 10 generations were passed."
25,"We studied here their ability to serve as expression vectors by inserting two different foreign genes and evaluating systematically the genomic position dependence of their expression, using a murine coronavirus as a model."
26,"The viruses in this article are respiratory syncytial virus, parainfluenza virus, human metapneumovirus, rhinovirus, seasonal and emerging coronaviruses, adenovirus, bocavirus and other viruses associated with the respiratory tract for their life cycle."
27,Addition of a novel glycosylation sites were observed in 2019-nCoV.
28,This recent emergence of a previously unknown coronavirus in China leads to huge impacts on humans globally.
