,coravacine,newpid
0,0.9121547341346741,7158
1,0.10775908082723618,11828
2,0.4475690722465515,16037
3,0.15819962322711945,3319
4,0.7964585423469543,3351
5,0.7716188430786133,15033
6,0.6840324401855469,4679
7,0.6801887154579163,11235
8,0.6718998551368713,15946
9,0.3496866226196289,14726
10,0.5122637748718262,6730
11,0.706540048122406,3816
12,0.8684208989143372,9762
13,0.28069868683815,4921
14,0.8069762587547302,14149
15,0.3867281675338745,9864
16,0.19630171358585358,8252
17,0.9649060964584351,13891
18,0.6484196186065674,512
19,0.4443705976009369,6093
20,0.5934527516365051,3323
21,0.30903929471969604,4017
22,0.16056083142757416,14144
23,0.8521945476531982,9162
24,0.5854989886283875,15687
25,0.8223748803138733,999
26,0.5943758487701416,4439
27,0.6297475099563599,4253
28,0.2728097438812256,12492
29,0.11523405462503433,13051
30,0.09891543537378311,13403
31,0.8684039115905762,3250
32,0.6560950875282288,13383
33,0.3813478946685791,3647
34,0.6415970921516418,15625
35,0.8314509391784668,13105
36,0.11445659399032593,2653
37,0.3776387870311737,8288
38,0.837681770324707,2254
39,0.33728688955307007,10559
40,0.4613684117794037,13248
41,0.7008826732635498,416
42,0.5348847508430481,9792
43,0.6944056153297424,15998
44,0.11224842071533203,9437
45,0.5009877681732178,9818
46,0.7162336111068726,15553
47,0.9706472158432007,4163
48,0.517698347568512,10293
49,0.7544766664505005,12133
50,0.7956089973449707,4330
51,0.4694928824901581,7204
52,0.7960455417633057,6666
53,0.11108121275901794,11744
54,0.7603185772895813,6515
55,0.7120479345321655,6934
56,0.2947535216808319,4398
57,0.3277474343776703,5088
58,0.6992706060409546,11189
59,0.47688937187194824,14024
60,0.6215429902076721,8840
61,0.11942260712385178,13360
62,0.6362796425819397,8966
63,0.49358272552490234,10761
64,0.18525592982769012,10036
65,0.10277988761663437,1379
66,0.6778697371482849,3881
67,0.24261601269245148,9619
68,0.11709360033273697,4293
69,0.6572325229644775,4101
70,0.6941821575164795,1632
71,0.8148038983345032,11997
72,0.8651894927024841,6404
73,0.6700607538223267,5002
74,0.3173939287662506,12411
75,0.8168746829032898,14695
76,0.3595018684864044,3582
77,0.4182002544403076,6283
78,0.12409769743680954,4763
79,0.13941116631031036,13066
80,0.2034011334180832,11762
81,0.946078360080719,12613
82,0.9632375836372375,4983
83,0.8910516500473022,5846
84,0.5350861549377441,14124
85,0.2865794003009796,11978
86,0.25382834672927856,106
87,0.41119900345802307,10590
88,0.8788180351257324,2524
89,0.6103283166885376,11119
90,0.8885661363601685,14559
91,0.29051822423934937,15606
92,0.8313355445861816,11106
93,0.4205678701400757,14427
94,0.09968388080596924,3057
95,0.6847124099731445,15721
96,0.15419578552246094,6480
97,0.5952450633049011,16051
98,0.14933161437511444,2108
99,0.1334179788827896,3658
100,0.4566675126552582,4775
101,0.4769136607646942,1236
102,0.9888337254524231,14679
103,0.7420747876167297,5127
104,0.259212851524353,15772
105,0.7634293437004089,3475
106,0.24376338720321655,7502
107,0.9652167558670044,5678
108,0.9538712501525879,4847
109,0.46394211053848267,14905
110,0.4877984821796417,11428
111,0.10288142412900925,14548
112,0.10200726240873337,7814
113,0.7290624976158142,13976
114,0.41017886996269226,12220
115,0.2441173940896988,8610
116,0.11514031887054443,433
117,0.3735182583332062,11930
118,0.37997597455978394,8169
119,0.760725736618042,8804
120,0.4624435603618622,3544
121,0.10213557630777359,9012
122,0.9526697993278503,5046
123,0.968705952167511,7120
124,0.10015004873275757,5825
125,0.34794601798057556,12728
126,0.09927377849817276,2849
127,0.17669077217578888,3437
128,0.25483018159866333,5381
129,0.14472004771232605,665
130,0.9784360527992249,5514
131,0.1226285919547081,1019
132,0.7877753973007202,942
133,0.6655852794647217,165
134,0.25346389412879944,11630
135,0.15723474323749542,1549
136,0.18307052552700043,6862
137,0.1421104073524475,7827
138,0.9769663214683533,6149
139,0.2925061285495758,11845
140,0.7147648334503174,7131
141,0.7993634343147278,6972
142,0.6437467336654663,4949
143,0.20261019468307495,7573
144,0.6296065449714661,3503
145,0.43611302971839905,2243
146,0.10261185467243195,7538
147,0.9606976509094238,2818
148,0.12357085943222046,4580
149,0.9237639307975769,8529
150,0.10577907413244247,1101
151,0.16763775050640106,14073
152,0.1064806655049324,5474
153,0.9307097792625427,6988
154,0.4370475113391876,9591
155,0.8232751488685608,5443
156,0.9226881265640259,8509
157,0.9888866543769836,12339
158,0.10392143577337265,10653
159,0.13855701684951782,1869
160,0.6385785341262817,14178
161,0.30173608660697937,12792
162,0.39243966341018677,5541
163,0.5552396774291992,3191
164,0.8772179484367371,5055
165,0.4600372314453125,1783
166,0.21674542129039764,5090
167,0.9810560345649719,10803
168,0.5740312337875366,6377
169,0.3640742301940918,10751
170,0.20546990633010864,10713
171,0.8398776650428772,10533
172,0.10797353088855743,10591
173,0.5587005019187927,13686
174,0.27830585837364197,13827
175,0.5872493386268616,9859
176,0.5700735449790955,8940
177,0.11044564098119736,11016
178,0.4357815384864807,15397
179,0.21908462047576904,9681
180,0.12155809998512268,15288
181,0.09812778234481812,874
182,0.11422651261091232,10026
183,0.38513851165771484,2343
184,0.5931383967399597,5482
185,0.5331087112426758,2963
186,0.8553890585899353,6398
187,0.8526754379272461,3718
188,0.9664276838302612,6642
189,0.9747588634490967,6551
190,0.3232733905315399,3253
191,0.48507142066955566,15972
192,0.5211922526359558,4249
193,0.2613552510738373,4175
194,0.3212486207485199,7635
195,0.7008618712425232,1218
196,0.3625490665435791,15460
197,0.8063379526138306,2737
198,0.4730091989040375,5523
199,0.1342645138502121,9667
200,0.21841961145401,15422
201,0.5388946533203125,4348
202,0.9081684947013855,3883
203,0.12271521985530853,891
204,0.6163643598556519,7766
205,0.670695424079895,4811
206,0.6196762323379517,7784
207,0.7451881170272827,9235
208,0.4881748855113983,1664
209,0.7902371883392334,6840
210,0.9891520738601685,8315
211,0.9047151803970337,7901
212,0.2974081337451935,13757
213,0.3013465106487274,1200
214,0.6152262687683105,521
215,0.7271579504013062,6258
216,0.8440282940864563,7191
217,0.7013813853263855,7804
218,0.5476489067077637,15643
219,0.13736212253570557,11295
220,0.89614337682724,3742
221,0.6547476053237915,6275
222,0.7549918293952942,14813
223,0.36536240577697754,5706
224,0.6224469542503357,7394
225,0.5011464953422546,11079
226,0.5479962825775146,4985
227,0.7776922583580017,3169
228,0.1135103851556778,711
229,0.10342864692211151,13460
230,0.1238468661904335,2202
231,0.558251678943634,479
232,0.14615774154663086,10303
233,0.15071848034858704,8396
234,0.989591658115387,1951
235,0.5194952487945557,12696
236,0.5908941030502319,12762
237,0.31733205914497375,6921
238,0.10217379778623581,14522
239,0.11416436731815338,2086
240,0.41065847873687744,14061
241,0.12935160100460052,785
242,0.7587528228759766,1171
243,0.13181805610656738,15430
244,0.10121777653694153,1946
245,0.7518342137336731,10258
246,0.18856588006019592,2932
247,0.1122373417019844,13676
248,0.5699900388717651,13793
249,0.9558804631233215,12883
250,0.685154378414154,15648
251,0.22268733382225037,11208
252,0.62454754114151,13389
253,0.708565354347229,1514
254,0.6892923712730408,905
255,0.11842861771583557,15106
256,0.8321134448051453,14800
257,0.10580868273973465,10480
258,0.5529432892799377,6662
259,0.7990496754646301,821
260,0.10634040087461472,7369
261,0.3117191195487976,6292
262,0.747137188911438,10037
263,0.7302309274673462,5407
264,0.3828694224357605,1109
265,0.5673385858535767,9398
266,0.7080103158950806,5815
267,0.09968743473291397,1643
268,0.8646838068962097,10706
269,0.1613260805606842,11799
270,0.1598348319530487,5790
271,0.7200908660888672,15001
272,0.6824928522109985,9297
273,0.818264901638031,6578
274,0.6821123957633972,13343
275,0.2362937331199646,6572
276,0.7486318945884705,7126
277,0.21213850378990173,7987
278,0.8172296285629272,14413
279,0.5772876739501953,2943
280,0.34280088543891907,4272
281,0.11403019726276398,13131
282,0.09692350029945374,7592
283,0.20608742535114288,4611
284,0.7879192233085632,13889
285,0.38499075174331665,4359
286,0.1149480789899826,15376
287,0.64180588722229,10563
288,0.10910019278526306,897
289,0.8553621768951416,1467
290,0.159742072224617,14962
291,0.9007024765014648,10402
292,0.7095866799354553,6411
293,0.10783183574676514,513
294,0.1020878329873085,13417
295,0.10459623485803604,1378
296,0.09789051860570908,7930
297,0.9611455202102661,7672
298,0.10626202076673508,2953
299,0.8786711692810059,16012
300,0.6534910798072815,8599
301,0.3213866353034973,8430
302,0.5310945510864258,4805
303,0.17369602620601654,6703
304,0.7792652249336243,2478
305,0.818993866443634,2099
306,0.39082351326942444,8400
307,0.3792675733566284,5951
308,0.7078578472137451,691
309,0.11896885186433792,1709
310,0.6544289588928223,13050
311,0.980226993560791,7894
312,0.1402774155139923,11592
313,0.7072678208351135,5838
314,0.7483655214309692,10466
315,0.2486739605665207,14943
