pid,title,abstract
eecyduzq,Fast assessment of human receptor-binding capability of 2019 novel coronavirus (2019-nCoV),"The outbreaks of 2002/2003 SARS, 2012/2015 MERS and 2019/2020 Wuhan respiratory syndrome clearly indicate that genome evolution of an animal coronavirus (CoV) may enable it to acquire human transmission ability, and thereby to cause serious threats to global public health. It is widely accepted that CoV human transmission is driven by the interactions of its spike protein (S-protein) with human receptor on host cell surface; so, quantitative evaluation of these interactions may be used to assess the human transmission capability of CoVs. However, quantitative methods directly using viral genome data are still lacking. Here, we perform large-scale protein-protein docking to quantify the interactions of 2019-nCoV S-protein receptor-binding domain (S-RBD) with human receptor ACE2, based on experimental SARS-CoV S-RBD-ACE2 complex structure. By sampling a large number of thermodynamically probable binding conformations with Monte Carlo algorithm, this approach successfully identified the experimental complex structure as the lowest-energy receptor-binding conformations, and hence established an experiment-based strength reference for evaluating the receptor-binding affinity of 2019-nCoV via comparison with SARS-CoV. Our results show that this binding affinity is about 73% of that of SARS-CoV, supporting that 2019-nCoV may cause human transmission similar to that of SARS-CoV. Thus, this study presents a method for rapidly assessing the human transmission capability of a newly emerged CoV and its mutant strains, and demonstrates that post-genome analysis of protein-protein interactions may provide early scientific guidance for viral prevention and control."
11060ijh,Investigation into SARS-CoV-2 Resistance of Compounds in Garlic Essential Oil,"[Image: see text] Eighteen active substances, including 17 organosulfur compounds found in garlic essential oil (T), were identified by GC–MS analysis. For the first time, using the molecular docking technique, we report the inhibitory effect of the considered compounds on the host receptor angiotensin-converting enzyme 2 (ACE2) protein in the human body that leads to a crucial foundation about coronavirus resistance of individual compounds on the main protease (PDB6LU7) protein of SARS-CoV-2. The results show that the 17 organosulfur compounds, accounting for 99.4% contents of the garlic essential oil, have strong interactions with the amino acids of the ACE2 protein and the main protease PDB6LU7 of SARS-CoV-2. The strongest anticoronavirus activity is expressed in allyl disulfide and allyl trisulfide, which account for the highest content in the garlic essential oil (51.3%). Interestingly, docking results indicate the synergistic interactions of the 17 substances, which exhibit good inhibition of the ACE2 and PDB6LU7 proteins. The results suggest that the garlic essential oil is a valuable natural antivirus source, which contributes to preventing the invasion of coronavirus into the human body."
vbgf50os,"Molecular Modeling Evaluation of the Binding Effect of Ritonavir, Lopinavir and Darunavir to Severe Acute Respiratory Syndrome Coronavirus 2 Proteases","Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19). In this study, the structure models of two severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) proteases, coronavirus endopeptidase C30 (CEP_C30) and papain like viral protease (PLVP), were built by homology modeling. Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes. In the simulations, ritonavir can bind to CEP_C30 most suitably, and induce significant conformation changes of CEP_C30; lopinavir can also bind to CEP_C30 suitably, and induce significant conformation changes of CEP_C30; darunavir can bind to PLVP suitably with slight conformation changes of PLVP. It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP."
j10308i3,COVID-19 spike-host cell receptor GRP78 binding site prediction," Objectives Understanding the novel coronavirus (COVID-19) mode of host cell recognition may help to fight the disease and save lives. The spike protein of coronaviruses is the main driving force for host cell recognition. Methods In this study, the COVID-19 spike binding site to the cell-surface receptor (Glucose Regulated Protein 78 (GRP78)) is predicted using combined molecular modeling docking and structural bioinformatics. The COVID-19 spike protein is modeled using its counterpart, the SARS spike. Results Sequence and structural alignments show that four regions, in addition to its cyclic nature have sequence and physicochemical similarities to the cyclic Pep42. Protein-protein docking was performed to test the four regions of the spike that fit tightly in the GRP78 Substrate Binding Domain β (SBDβ). The docking pose revealed the involvement of the SBDβ of GRP78 and the receptor-binding domain of the coronavirus spike protein in recognition of the host cell receptor. Conclusions We reveal that the binding is more favorable between regions III (C391-C525) and IV (C480-C488) of the spike protein model and GRP78. Region IV is the main driving force for GRP78 binding with the predicted binding affinity of -9.8 kcal/mol. These nine residues can be used to develop therapeutics specific against COVID-19."
d7n1zy0b,"Anti-HCV, nucleotide inhibitors, repurposing against COVID-19"," Aims A newly emerged Human Coronavirus (HCoV) is reported two months ago in Wuhan, China (COVID-19). Until today >2700 deaths from the 80,000 confirmed cases reported mainly in China and 40 other countries. Human to human transmission is confirmed for COVID-19 by China a month ago. Based on the World Health Organization (WHO) reports, SARS HCoV is responsible for >8000 cases with confirmed 774 deaths. Additionally, MERS HCoV is responsible for 858 deaths out of about 2500 reported cases. The current study aims to test anti-HCV drugs against COVID-19 RNA dependent RNA polymerase (RdRp). Materials and methods In this study, sequence analysis, modeling, and docking are used to build a model for Wuhan COVID-19 RdRp. Additionally, the newly emerged Wuhan HCoV RdRp model is targeted by anti-polymerase drugs, including the approved drugs Sofosbuvir and Ribavirin. Key findings The results suggest the effectiveness of Sofosbuvir, IDX-184, Ribavirin, and Remidisvir as potent drugs against the newly emerged HCoV disease. Significance The present study presents a perfect model for COVID-19 RdRp enabling its testing in silico against anti-polymerase drugs. Besides, the study presents some drugs that previously proved its efficiency against the newly emerged viral infection."
3pxc5wot,"Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir against SARS-CoV-2 RNA dependent RNA polymerase (RdRp): A molecular docking study"," Aims A new human coronavirus (HCoV), which has been designated SARS-CoV-2, began spreading in December 2019 in Wuhan City, China causing pneumonia called COVID-19. The spread of SARS-CoV-2 has been faster than any other coronaviruses that have succeeded in crossing the animal-human barrier. There is concern that this new virus will spread around the world as did the previous two HCoVs—Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS)—each of which caused approximately 800 deaths in the years 2002 and 2012, respectively. Thus far, 11,268 deaths have been reported from the 258,842 confirmed infections in 168 countries. Main methods In this study, the RNA-dependent RNA polymerase (RdRp) of the newly emerged coronavirus is modeled, validated, and then targeted using different anti-polymerase drugs currently on the market that have been approved for use against various viruses. Key findings The results suggest the effectiveness of Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir as potent drugs against SARS-CoV-2 since they tightly bind to its RdRp. In addition, the results suggest guanosine derivative (IDX-184), Setrobuvir, and YAK as top seeds for antiviral treatments with high potential to fight the SARS-CoV-2 strain specifically. Significance The availability of FDA-approved anti-RdRp drugs can help treat patients and reduce the danger of the mysterious new viral infection COVID-19. The drugs mentioned above can tightly bind to the RdRp of the SARS-CoV-2 strain and thus may be used to treat the disease. No toxicity measurements are required for these drugs since they were previously tested prior to their approval by the FDA."
dqxfcwyu,Spike protein binding prediction with neutralizing antibodies of SARS-CoV-2,"Coronavirus disease 2019 (COVID-19) is a new emerging human infectious disease caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, also previously known as 2019-nCoV), originated in Wuhan seafood and animal market, China. Since December 2019, more than 69,000 cases of COVID-19 have been confirmed in China and quickly spreads to other counties. Currently, researchers put their best efforts to identify effective drugs for COVID-19. The neutralizing antibody, which binds to viral capsid in a manner that inhibits cellular entry of virus and uncoating of the genome, is the specific defense against viral invaders. In this study, we investigate to identify neutralizing antibodies that can bind to SARS-CoV-2 Sipke (S) protein and interfere with the interaction between viral S protein and a host receptor by bioinformatic methods. The sequence analysis of S protein showed two major differences in the RBD region of the SARS-CoV-2 S protein compared to SARS-CoV and SARS-CoV related bat viruses (btSARS-CoV). The insertion regions were close to interacting residues with the human ACE2 receptor. Epitope analysis of neutralizing antibodies revealed that SARS-CoV neutralizing antibodies used conformational epitopes, whereas MERS-CoV neutralizing antibodies used a common linear epitope region, which contributes to form the β-sheet structure in MERS-CoV S protein and deleted in SARS-CoV-2 S protein. To identify effective neutralizing antibodies for SARS-CoV-2, the binding affinities of neutralizing antibodies with SARS-CoV-2 S protein were predicted and compared by antibody-antigen docking simulation. The result showed that CR3022 neutralizing antibody from human may have higher binding affinity with SARS-CoV-2 S protein than SARS-CoV S protein. We also found that F26G19 and D12 mouse antibodies could bind to SARS-CoV S protein with high affinity. Our findings provide crucial clues towards the development of antigen diagnosis, therapeutic antibody, and the vaccine against SARS-CoV-2."
m0hivi0u,Insight Derived from Molecular Docking and Molecular Dynamics Simulations into the Binding Interactions Between HIV-1 Protease Inhibitors and SARS-CoV-2 3CLpro,"A novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) was identified from respiratory illness patients in Wuhan, Hubei Province, China, which has recently emerged as a serious threat to the world public health. Hower, no approved drugs have been found to effectively inhibit the virus. Since it has been reported that the HIV-1 protease inhibitors can be used as anti-SARS drugs by tegarting SARS-CoV 3CLpro, we choose six approved anti-HIV-1 drugs to investigate their binding interactions between 3CLpro, and to evaluate their potential to become clinical drugs for the new coronavirus pneumonia (COVID19) caused by SARS-CoV-2 infection. The molecular docking results indicate that, the 3CLpro of SARS-CoV-2 has a higher binding affinity for all the studied inhibitors than its SARS homologue. Two docking complexes (indinavir and darunavir) with high docking scores were futher subjected to MM-PBSA binding free energy calculations to detail the molecular interactions between these two proteinase inhibitors and the 3CLpro. Our results show that darunavir has the best binding affinity with SARS-CoV-2 and SARS-CoV 3CLpro among all inhibitors, indicating it has the potential to become an anti-COVID-19 clinical drug. The likely reason behind the increased binding affinity of HIV-1 protease inhibitors toward SARS-CoV2 3CLpro than that of SARS-CoV were investigated by MD simulations. Our study provides insight into the possible role of structural flexibility during interactions between 3CLpro and inhibitors, and sheds light on the structure-based design of anti-COVID-19 drugs targeting the SARS-CoV-2 3CLpro."
679qfp2s,Lack of Antiviral Activity of Darunavir against SARS-CoV-2,"Given the high need and the absence of specific antivirals for treatment of COVID-19 (the disease caused by severe acute respiratory syndrome-associated coronavirus-2 [SARS-CoV-2]), human immunodeficiency virus (HIV) protease inhibitors are being considered as therapeutic alternatives. Prezcobix/Rezolsta is a fixed-dose combination of 800 mg of the HIV protease inhibitor darunavir (DRV) and 150 mg cobicistat, a CYP3A4 inhibitor, which is indicated in combination with other antiretroviral agents for the treatment of HIV infection. There are currently no definitive data on the safety and efficacy of DRV/cobicistat for treatment of COVID-19. The in vitro antiviral activity of darunavir against a clinical isolate from a patient infected with SARS-CoV-2 was assessed. DRV showed no activity against SARS-CoV-2 at clinically relevant concentrations (EC50 >100 μM). Remdesivir, used as a positive control, showed potent antiviral activity (EC50 = 0.38 μM). Overall, the data do not support the use of DRV for treatment of COVID-19."
gy35gsl2,In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,"Objective In this study we execute a rational screen to identify Chinese medical herbs that are commonly used in treating viral respiratory infections and also contain compounds that might directly inhibit 2019 novel coronavirus (2019-nCoV), an ongoing novel coronavirus that causes pneumonia. Methods There were two main steps in the screening process. In the first step we conducted a literature search for natural compounds that had been biologically confirmed as against sever acute respiratory syndrome coronavirus or Middle East respiratory syndrome coronavirus. Resulting compounds were cross-checked for listing in the Traditional Chinese Medicine Systems Pharmacology Database. Compounds meeting both requirements were subjected to absorption, distribution, metabolism and excretion (ADME) evaluation to verify that oral administration would be effective. Next, a docking analysis was used to test whether the compound had the potential for direct 2019-nCoV interaction. In the second step we searched Chinese herbal databases to identify treatments containing the selected compounds. Plants containing 2 or more of the compounds identified in our screen were then checked against the catalogue for classic herbal usage. Finally, network pharmacology analysis was used to predict the general in vivo effects of each selected herb. Results Of the natural compounds screened, 13 that exist in traditional Chinese medicines were also found to have potential anti-2019-nCoV activity. Further, 125 Chinese herbs were found to contain 2 or more of these 13 compounds. Of these 125 herbs, 26 are classically catalogued as treating viral respiratory infections. Network pharmacology analysis predicted that the general in vivo roles of these 26 treatments were related to regulating viral infection, immune/inflammation reactions and hypoxia response. Conclusion Chinese herbal treatments classically used for treating viral respiratory infection might contain direct anti-2019-nCoV compounds."
