,ADE,newpid
0,0.009024739265441895,32101
1,0.0016532887239009142,24896
2,0.002508728066459298,14967
3,0.0019018729217350483,28637
4,0.0035931651946157217,26248
5,0.0033600335009396076,3369
6,0.08764638751745224,37579
7,0.6010570526123047,6783
8,0.0016085782554000616,1316
9,0.002418906195089221,28227
10,0.0032631023786962032,8612
11,0.0016581567469984293,36989
12,0.014750343747437,10181
13,0.0015505952760577202,26775
14,0.0017121578566730022,34429
15,0.018059279769659042,6913
16,0.0031818575225770473,40183
17,0.004301370587199926,17278
18,0.0015571853145956993,34147
19,0.001536467345431447,13856
20,0.006158706732094288,21281
21,0.002353023737668991,13197
22,0.001569158979691565,15832
23,0.0018047221237793565,6933
24,0.0283352117985487,38371
25,0.0017100907862186432,4748
26,0.0020869721192866564,18644
27,0.0016506952233612537,29127
28,0.002293297788128257,25279
29,0.002713600406423211,25419
30,0.0016186730936169624,1768
31,0.004553651437163353,37668
32,0.00193884433247149,9503
33,0.0019056875025853515,36793
34,0.0028175883926451206,21681
35,0.0016885139048099518,28069
36,0.004760874435305595,17217
37,0.0018006216268986464,29787
38,0.0017174303065985441,30845
39,0.7470115423202515,33778
40,0.0016166438581421971,36379
41,0.0015473834937438369,34713
42,0.0027897257823497057,34570
43,0.0018951495876535773,18894
44,0.0034467654768377542,38219
45,0.005099201574921608,35273
46,0.03074207343161106,1088
47,0.0015713312895968556,39299
48,0.03043278492987156,7074
49,0.00749518908560276,13950
50,0.003477133344858885,2298
51,0.0018835400696843863,12554
52,0.0015719891525804996,7286
53,0.0018894424429163337,1332
54,0.07903669029474258,2442
55,0.0015193730359897017,31993
56,0.0924767479300499,10711
57,0.0016139323124662042,23978
58,0.010180838406085968,35428
59,0.0017280887113884091,38459
60,0.0021751616150140762,9547
61,0.0021391811314970255,28283
62,0.5528972744941711,8070
63,0.0016616896027699113,23545
64,0.001686203177087009,38247
65,0.0016394882695749402,10148
66,0.0029471362940967083,13891
67,0.0019791696686297655,30009
68,0.001640228321775794,21427
69,0.4407443702220917,19097
70,0.002337187761440873,1081
71,0.0018949853256344795,30029
72,0.0017777981702238321,20904
73,0.003478609025478363,19809
74,0.004142978694289923,14487
75,0.002178523689508438,1119
76,0.0058836196549236774,12413
77,0.002300769090652466,10198
78,0.0030995921697467566,3121
79,0.001715569058433175,7419
80,0.002618710743263364,22850
81,0.0023548442404717207,35378
82,0.001749976072460413,24720
83,0.9218926429748535,2896
84,0.0016420073807239532,6371
85,0.003117517801001668,7940
86,0.008073274977505207,15131
87,0.002246817573904991,40033
88,0.0016045483062043786,35820
89,0.01796899549663067,35012
90,0.003443746594712138,27701
91,0.0038503510877490044,37459
92,0.0016247800085693598,22173
93,0.0038896058686077595,33970
94,0.007076696492731571,21858
95,0.9847321510314941,40230
96,0.0019014875870198011,37788
97,0.0020351065322756767,3399
98,0.21952176094055176,30888
99,0.003920454531908035,20061
100,0.001586424303241074,21916
101,0.0018060964066535234,7618
102,0.0018942306051030755,14832
103,0.0020190195646137,24440
104,0.003018441377207637,15240
105,0.0015570534160360694,24284
106,0.001651413505896926,24548
107,0.002672444097697735,25200
108,0.0595817007124424,22376
109,0.003616982139647007,35757
110,0.11746028065681458,24609
111,0.046047914773225784,2496
112,0.0019729130435734987,22326
113,0.0020862421952188015,30416
114,0.010739432647824287,28017
115,0.0016002031043171883,37674
116,0.004790163598954678,8153
117,0.0049280025996267796,20431
118,0.0023231946397572756,22181
119,0.0016805296763777733,36486
120,0.001532357302494347,30027
121,0.0016810954548418522,28070
122,0.00155099097173661,28016
123,0.015560555271804333,33549
124,0.0016381191089749336,20831
125,0.0015460322611033916,13532
126,0.0018848510226234794,35975
127,0.2897827625274658,39257
128,0.9801018238067627,10287
129,0.0017177066765725613,13037
130,0.0022709614131599665,1467
131,0.0020778051111847162,31625
132,0.002109300345182419,22816
133,0.001711833756417036,15421
134,0.0017797659384086728,17912
135,0.008463179692626,11145
136,0.004142823163419962,10887
137,0.0104027409106493,38384
138,0.020963594317436218,38527
139,0.3026791512966156,35142
140,0.0017291163094341755,1676
141,0.0040917834267020226,7778
142,0.0016059911577031016,33095
143,0.0021191712003201246,32119
144,0.0015880345599725842,12454
145,0.0024144791532307863,587
146,0.0015558298910036683,1898
147,0.0023242072202265263,37232
148,0.001644973293878138,39682
149,0.0016653039492666721,14218
150,0.008144772611558437,3934
151,0.002030758187174797,18528
152,0.025279227644205093,33710
153,0.0018234157469123602,6855
154,0.0016245091101154685,23715
155,0.00309679564088583,24432
156,0.0016621295362710953,26435
157,0.0017613432137295604,19308
158,0.001600525458343327,12878
159,0.8310363292694092,1841
160,0.006869282573461533,1572
161,0.0034618026111274958,9094
162,0.0016001779586076736,610
163,0.009122486226260662,24693
164,0.0019049583934247494,2320
165,0.00593129126355052,23797
166,0.007001828867942095,20840
167,0.0019040429033339024,5141
168,0.0017942000413313508,39278
169,0.0016820294549688697,14468
170,0.0019891008269041777,18104
171,0.003194995690137148,30
172,0.35400813817977905,27352
173,0.0016194421332329512,29196
174,0.002557555213570595,19842
175,0.0016031457344070077,16227
176,0.002028954681009054,26181
177,0.6384219527244568,35447
178,0.3624633550643921,3104
179,0.0015447770711034536,28980
