,sent
0,Middle East respiratory syndrome coronavirus is causing continuing concerns with outbreaks in the Arabian Peninsula.
1,"Influenza, for example, recurs annually and has been modeled more thoroughly than any other infectious disease."
2,"Background The mass media is a key component of any public communication strategy for influenza or other respiratory illnesses, but coverage can be variable."
3,"The study was conducted in BALB/c mice and the vaccine formulation was an influenza subunit vaccine supplemented with GPI-0100, a saponin-derived adjuvant."
4,The educational nature of the present study may persuade HCWs to develop a more positive attitude to influenza vaccination.
5,"Rotavirus, calicivirus, enteropathogenic and enterotoxigenic E. coli cause more than half of all diarrheal deaths in children <5 years in the world."
6,The recombinant adenovirus titer was characterized using the end-dilution assay.
7,The current emergence of the novel coronavirus pandemic caused by SARS-CoV-2 demands the development of new therapeutic strategies to prevent rapid progress of mortalities.
8,"Influenza is the most frequent travel related infection preventable by universally available vaccines, but preventive measures were neglected until recently."
9,"Unlike human influenza vaccines, strains used for commercially available swine influenza vaccines are not regularly replaced, making the vaccines provide limited protection against antigenically diverse viruses."
10,"Of these, 53,797 (51.2%) were classified as the new influenza virus subtype."
11,We use epidemiological models of influenza A to investigate how contact-reducing interventions and availability of antiviral drugs or pre-pandemic vaccines contribute to achieving particular policy objectives.
12,"Feces samples were tested for canine distemper virus, canine coronavirus, canine parvovirus type 2 (CPV-2), Clostridium perfringens alpha toxin (CPA), Cryptosporidium spp., Giardia spp., and Salmonella spp."
13,"This review will discuss experimental virus-vectored vaccines for use in humans, comparing them to licensed vaccines and the hurdles faced for licensure of these next-generation influenza virus vaccines."
14,"Influenza was the most common virus detected (34/101), followed by rhinoviruses (22/101) and adenoviruses (14/101)."
15,"In March 2013, a patient infected with a novel avian influenza A H7N9 virus was reported in China."
16,This may also provide insights into the evolution of 2019-nCoV because SARS-like coronaviruses are thought to have originated in bats that are known to have a higher body-temperature than humans.
17,"Critical and complementary considerations for pandemic influenza vaccines include improved assessment of the pandemic potential of animal influenza viruses, proactive development and deployment of pandemic influenza vaccines, and application of novel platforms and strategies for vaccine production and administration."
18,"Use of viral vectors allows the delivery of any influenza virus antigen, or derivative thereof, to the immune system, resulting in the optimal induction of virus-specific B- and T-cell responses against this antigen of choice."
19,"The treatment induced expression of the inflammatory cytokines IL-6 and TNF in bronchoalveolar lavage fluid 8- and 40-fold greater, respectively, than that caused by lethal influenza infection."
20,METHODS: A retrospective observational analysis was conducted among all influenza patients requiring admission to our center during the 2017-18 season.
21,The results showed that human IFITM3 did not affect the assembly and morphogenesis of progeny adenovirus.
22,"In 2012, the first cases of infection with the Middle East respiratory syndrome coronavirus (MERS-CoV) were identified."
23,"Among these, 75 samples (25%) were positive for enterovirus (EV), but no poliovirus was found."
24,The eradication of smallpox and the significant progress made toward polio eradication are clear examples of the great impact of antiviral vaccines.
25,The purpose of this study was to detail the clinical characteristics of influenza virus-induced lower respiratory infection (LRI) during the A(H1N1)pdm09-predominant 2015–2016 season.
26,A patient presenting with bilateral optic neuropathies within 3 weeks of “inactivated” influenza vaccination followed by delayed onset of ADEM 3 months post-vaccination is described.
27,"Influenza pandemics with new, deadly versions continue to appear."
28,"An antigenic variant of avian infectious bronchitis virus (IBV), a coronavirus, was isolated and characterized."
29,"Both human parainfluenza viruses and Newcastle disease virus have a surface-resident carbohydrate recognizing protein known as hemagglutinin-neuramindase (HN), which is involved in both cellular recognition and as a receptor-destroying enzyme."
30,"The advent of severe acute respiratory syndrome (SARS) in the 21st century and the recent outbreak of Middle-East respiratory syndrome (MERS) highlight the importance of coronaviruses (CoVs) as human pathogens, emphasizing the need for development of novel antiviral strategies to combat acute respiratory infections caused by CoVs."
31,Live or inactivated canine coronavirus vaccine; new antigen dog coronavirus isolate
32,Conclusion World Health Organization recommendations for the use of tetravalent vaccines that contain two influenza B strains (Yamagata and Victoria) in addition to the two influenza A strains (H1N1 and H3N2) should be implemented in national vaccination guidelines.
33," Middle East respiratory syndrome coronavirus (MERS-CoV), an emerging infectious disease of growing global importance, has caused severe acute respiratory disease in more than 1600 people, resulting in more than 600 deaths."
34,Poliovirus vaccine strains will continue to circulate long after wild strains have been eradicated.
35,"However, during the 2015–2016 epidemic in Central and South America, when millions of people were infected, it was discovered that ZIKV causes microcephaly in the babies of mothers infected during pregnancy."
36,Respiratory syncytial virus (RSV) is an important cause of respiratory tract disease in infants and the elderly.
37,"However, the highly successful Bartha vaccine has contributed substantially to eradication of the porcine alphaherpesvirus pseudorabies virus (PRV) in several countries."
38,"Nevertheless, the plethora of epidemiologic, diagnostic, mathematical and phylogenetic modeling, and investigative methodologies developed since the severe acute respiratory syndrome outbreak of 2003 and the subsequent sporadic human cases of avian influenza have been applied effectively and rapidly to the emergence of this novel pandemic virus."
39,"We studied here their ability to serve as expression vectors by inserting two different foreign genes and evaluating systematically the genomic position dependence of their expression, using a murine coronavirus as a model."
40,Respiratory syncytial virus (RSV) detection was most strongly associated with pneumonia (aOR: 58.4; 95% CI: 15.6 to 217.5).
41,"This study explored how 1 such event, the 2009/2010 influenza (H1N1) pandemic, impacted health care utilization and associated costs in the Military Health System."
42,Two combined rotavirus vaccination regimens were evaluated in a gnotobiotic pig model of rotavirus infection and disease and were compared to previously tested rotavirus vaccination regimens.
43,"The objective of this study was to use dynamic models to investigate the possible effects on hepatitis A incidence in Canada due to (1) implementing vaccination in the US, and (2) varying the volume of travel by Canadians to the US."
44,"Reinfection with homologous pandemic influenza virus resulted in a diminished innate immune response, early adaptive immune gene regulation, and a reduction in clinical severity."
45,"This observation is significant because coronaviruses, which have a high mutation rate, can revert to pathogenicity when bird-to-bird transmission occurs."
46,We first compared the immunogenicities and protective efficacies of VLPs containing VP2 and VP6 (2/6-VLPs) and G3 2/6/7-VLPs mixed with cholera toxin and administered by oral and intranasal routes in the adult mouse model of rotavirus infection.
47,"The frequency of recombination was estimated from <2% up to 10% in the 1182 b fragment analyzed, which is similar to recombination frequencies observed in coronaviruses."
48,Background: The S (spike) protein of the etiologic coronavirus (CoV) agent of severe acute respiratory syndrome (SARS) plays a central role in mediating viral infection via receptor binding and membrane fusion between the virion and the host cell.
49,"The purpose of this study is thus first to characterize the current trends of human rabies in China from 1990 to 2007, and then to define better recommendations for improving the post-exposure prophylaxis (PEP) schedules delivered to rabies patients."
50,Methods The cultures of SARS coronavirus (SARS-CoV) BJ-01 strain infected Vero cells were inactivated with β-propiolactone.
51,"The disease was caused by a previously unrecognized coronavirus, SARS-CoV."
52,": Against a background of pandemic threat posed by SARS and avian H5N1 influenza, this study used deliberative forums to elucidate informed community perspectives on aspects of pandemic planning."
53,"SARS is caused by a previously unrecognized lineage of coronavirus, SARS-CoV, which like influenza has an RNA based genome."
