,pid,newpid,category,sent,newscore,answer,keyword
0,3qdjmb2j,8652,ADE,"In addition, both vaccines also induced insert specific interferon gamma (IFN-γ) secreting T cell response.",0.1807475113117644,t cell response,antibody dependent enhancement (ADE)
1,ynef1d1t,8058,ADE,Type I interferon is important in anti-viral responses and in coordinating the innate immune response.,0.18061230933167002,innate immune response,antibody dependent enhancement (ADE)
2,mbvwh2ky,17361,ADE,"Importantly, attenuation of the dORF3-5 mutant is primarily driven by dysregulated host responses, including disrupted cell processes, augmented interferon (IFN) pathway activation, and robust inflammation.",0.18019054517210314,dysregulated host responses,antibody dependent enhancement (ADE)
3,zq58ot3c,18412,ADE,"Furthermore, T-cell proliferative responses and increased production of gamma interferon were also observed upon splenocyte restimulation with recombinant SOD.",0.17992187329988718,gamma,interleukin
4,cwfujgya,29285,ADE,By contrast there may be a lack of type 1 interferon response.,0.17990678968607535,type 1 interferon response,antibody dependent enhancement (ADE)
5,wyanwvxa,10176,ADE,"Replication of RVs is restricted in a host species-specific manner, and this barrier is determined predominantly by the host interferon (IFN) signaling and the ability of different RV strains to successfully negate IFN activation and amplification pathways.",0.17988278571317715,host interferon,interleukin
6,t0d8wtvp,37282,ADE,Generating feline cells with reduced ability to respond to interferon (IFN) is an essential step facilitating isolation of new candidate vaccine strains.,0.17986315715181167,generating feline cells with reduced ability to respond to interferon,antibody dependent enhancement (ADE)
7,gq9age1b,15677,ADE,These findings suggest that vaccine-induced eosinophil immunopathology in the lungs upon SARS-CoV infection could be avoided by the TLR agonist adjuvants.,0.1798500983294995,vaccine-induced eosinophil immunopathology,immunopathology
8,6mdaq868,11104,ADE,"In this study, we report on the activation of type I interferon (IFN) production by a defective interfering (DI) RNA isolated from the Hu-191 vaccine strain of measles virus.",0.17982485174523438,type i interferon,interleukin
9,wvot6rfc,17140,ADE,"The vaccine potential of each LAIV was determined through analysis of attenuation, interferon production, immunogenicity, and their ability to protect mice and ferrets.",0.1797873434093056,"immunogenicity , and their ability to protect mice and ferrets",immunopathology
10,j7fpiqfj,11405,ADE,"Plasmacytoid dendritic cells (pDC) play a central role in the antiviral immune response, both in the innate response and in shaping the adaptive response, mainly because of their ability to produce massive amounts of type I interferon (TI-IFN).",0.17972112203779214,antiviral immune response,antibody dependent enhancement (ADE)
11,08n9d0au,2780,ADE,The vaccine would induce neutralizing antibodies without causing Th2-type immunopathology.,0.17966144687919666,th2-type immunopathology,immunopathology
12,jd91k19z,11090,ADE,"There was a significant increase in the amount of Th1-related cytokines (interferon-γ and interleukin [IL] 12), and a significant decrease in the Th2-related cytokine IL-4 in splenocyte cell culture of the vaccinated group compared with the control groups.",0.17959429765572632,il ] 12,interleukin
13,6rwevq39,27485,ADE,The most noteworthy changes were in tumor necrosis factor-alpha (TNF-α) and interferon gamma (IFN-γ) levels.,0.1795423456564071,interferon gamma,interleukin
14,azf3e2pa,18001,ADE,Inducible (or adaptive) T(regs) frequently express high levels of the interleukin 2 receptor (CD25).,0.1794012298217809,inducible ( or adaptive ) t ( regs ) frequently express high levels of the interleukin 2 receptor,antibody dependent enhancement (ADE)
15,wr2sgixs,20615,ADE,"Moreover, exposure of type-I interferon knockout mice to ZIKV results in severe damage to the testes, epididymis and sperm.",0.17935635211263828,"severe damage to the testes , epididymis and sperm",interferon
16,kxg0ym05,15816,ADE,Cellular immunities were also shown in both cell proliferation and gamma interferon (IFN-γ) enzyme-linked immunospot (ELISpot) assays.,0.1792931293880269,gamma interferon,interleukin
17,j5b6bscg,37101,ADE,"In this study, we demonstrated that the PRRSV nsp2 OTU domain antagonizes the type I interferon induction by interfering with the NF-κB signaling pathway.",0.17927955261876788,type i,interleukin
18,r6c7kmqj,39197,ADE,"In human lung epithelial A549 cells, 5′pppRNA specifically stimulated multiple parameters of the innate antiviral response, including IRF3, IRF7 and STAT1 activation, and induction of inflammatory and interferon stimulated genes - hallmarks of a fully functional antiviral response.",0.17924141416996528,innate antiviral response,antibody dependent enhancement (ADE)
19,m2fwefuy,11479,ADE,"SMQ, but not alum, generated strong interleukin-6 (IL-6), gamma interferon (IFN-γ), and tumor necrosis alpha (TNF-α) responses.",0.17918462068604307,"strong interleukin-6 ( il-6 ) , gamma interferon ( ifn-γ ) , and tumor necrosis alpha ( tnf-α ) responses",antibody dependent enhancement (ADE)
20,vdsrdxrn,15648,ADE,"Moreover, MVA immunization at low dosage also protected IFNAR(−/−) mice, indicating efficient activation of cellular immunity even in the absence of type I interferon signaling.",0.17917480429717536,type i interferon signaling,antibody dependent enhancement (ADE)
21,key29aid,26485,ADE,The mHSP110-E7(11-20) complex induced epitope-specific splenocyte proliferation and E7(11-20)-specific gamma interferon (IFN-γ) secretion.,0.17914458984091847,gamma interferon,interleukin
22,bs3j3nss,7160,ADE,"VRP-N vaccines not only failed to protect from homologous or heterologous challenge, but resulted in enhanced immunopathology with eosinophilic infiltrates within the lungs of SARS-CoV–challenged mice.",0.179103376164779,enhanced immunopathology with eosinophilic infiltrates,immunopathology
23,ht7km4jz,17812,ADE,"The plasma level of the transforming growth factor (TGF-β), but not interleukin (IL)-2, IL-4, IL-5, IL-10, IFN-γ, TNF-α, was also found to increase significantly after vaccination.",0.17910238647349794,vaccination,antibody dependent enhancement (ADE)
24,gq9age1b,15678,ADE,"IMPORTANCE Inactivated whole severe acute respiratory syndrome-related coronavirus (SARS-CoV) vaccines induce neutralizing antibodies in mouse models; however, they also cause increased eosinophilic immunopathology in the lungs upon SARS-CoV challenge.",0.17909504252958694,eosinophilic immunopathology,immunopathology
25,xdnu5qyq,24093,ADE,AAV2/8 produced a vibrant CD8(+) T-cell effector response characterized by coexpression of gamma interferon and tumor necrosis factor alpha as well as in vivo cytolytic activity.,0.17909216938754968,gamma interferon,interleukin
26,hb2lieh3,1607,ADE,"Histopathology seen in animals given one of the SARS-CoV vaccines was uniformly a Th2-type immunopathology with prominent eosinophil infiltration, confirmed with special eosinophil stains.",0.1790876178992002,th2-type immunopathology with prominent eosinophil infiltration,immunopathology
27,itrv27tm,12019,ADE,"However, some animal studies have suggested that inadequate immunization against severe acute respiratory syndrome coronavirus (SARS&#8208;CoV) induces a lung eosinophilic immunopathology upon infection.",0.17905939749372884,lung eosinophilic,immunopathology
28,fb832hlp,6043,ADE,"As will be discussed in this chapter, coronavirus vaccines present many challenges including low and rapidly waning immunity and the fact that coronavirus vaccines, particularly when formulated with Th2-biased alum adjuvants, can exacerbate coronavirus infection-associated eosinophilic lung immunopathology.",0.17894538176936375,eosinophilic lung immunopathology,immunopathology
29,xq48afa0,30011,ADE,"Patients with H5N1 disease had unusually high serum concentrations of chemokines (eg, interferon induced protein-10 [IP-10] and monokine induced by interferon γ [MIG]).",0.17892517705507768,patients with h5n1 disease had unusually high serum concentrations of chemokines,immunopathology
30,rqhn122a,7384,ADE,"Immunized IFNAR(−/−)-CD46Ge mice developed E protein-specific and neutralizing antibodies, and ZIKV E-specific cellular immune responses were observed by gamma interferon (IFN-γ) enzyme-linked immunospot (ELISpot) and in vitro T cell proliferation assays.",0.1788743543176505,cellular immune responses,antibody dependent enhancement (ADE)
31,fb832hlp,6046,ADE,"This chapter will describe the current state of development of SARS vaccines, the issue of coronavirus-associated eosinophilic lung immunopathology and how adjuvants can be used to reduce the risk of this complication.",0.1786779098634224,eosinophilic lung immunopathology,immunopathology
32,xvvfguht,23623,ADE,"Lately, suboptimal innate immune responses, expressed as defective interferon production, have gained attention as they might be amenable to intervention.",0.17866143032211246,suboptimal innate immune responses,antibody dependent enhancement (ADE)
33,t6ndp2vq,31891,ADE,"The reasons for this obstacle are not well understood, but appear to reflect, at least in part, the inability of the virus to block the interferon response in any but the human host.",0.1784900147815084,interferon response,antibody dependent enhancement (ADE)
34,rhhafruq,40352,ADE,This study shows that formulation of SARS-CoV spike protein or inactivated whole-virus vaccines with novel delta inulin-based polysaccharide adjuvants enhances neutralizing-antibody titers and protection against clinical disease but at the same time also protects against development of lung eosinophilic immunopathology.,0.17846314861837415,lung eosinophilic immunopathology,immunopathology
35,nb6c8buz,7496,ADE,"We found that single strand RNA (termed RNA adjuvant) derived from cricket paralysis virus intergenic region internal ribosome entry site induced the expression of various adjuvant-function-related genes, such as type 1 and 2 interferon (IFN) and toll-like receptor (TLR), T cell activation, and leukocyte chemotaxis in human peripheral blood mononuclear cells; furthermore, its innate and IFN transcriptome profile patterns were similar to those of a live-attenuated yellow fever vaccine.",0.17837462707308027,type 1 and 2 interferon,interleukin
36,zu0ubwfq,7839,ADE,"In contrast, development of neutralising antibodies (NAs) is delayed and generation of cell-mediated immune responses, such as PRRSV-specific interferon (IFN)-γ secreting cells, is initially erratic.",0.17837413666686494,prrsv-specific interferon ( ifn )-γ,interleukin
