,sent
0, Infection with the SARS-associated coronavirus (SARS-CoV) induces an atypical pulmonary disease with a high lethality rate.
1,"With the ongoing outbreaks of measles in Europe, it is recommended that all pilgrims have an updated immunization against vaccine-preventable diseases (diphtheria, tetanus, pertussis, polio, measles and mumps)."
2,Content analysis found little evidence of the media ‘over-hyping’ the swine flu pandemic.
3,The potent adjuvanticity of rOv-ASP-1 was confirmed in mice vaccinated with a 37-mer peptide from the S protein of SARS-CoV and an HIV-1 gp120-CD4 chimeric polypeptide antigen.
4,Patients’ samples were screened by real-time RT-PCR and influenza viruses isolated were characterized antigenically by haemagglutination inhibition assay and genetically by sequencing of HA and NA genes.
5,The immunogenicity and efficacy of β-propiolactone (BPL) inactivated whole virion SARS-CoV (WI-SARS) vaccine was evaluated in BALB/c mice and golden Syrian hamsters.
6,"After 2001, this trend reversed with significant clusters containing HA and NA sequences from different locations, isolated at different times, suggesting that viral migration may account for much of the influenza A(H3N2) seasonality during this 10-year period."
7,"Microneutralization (MN) and hemagglutination inhibition (HI) assays are currently used to evaluate neutralizing antibody responses against human and avian influenza viruses, including H5N1."
8,"The fourth CoV genus, Deltacoronavirus, evolutionarily related to the Gammacoronavirus, has just been defined recently."
9,"The list of viruses that are briefly reviewed here includes rhinoviruses, respiratory syncytial virus, parainfluenza virus, adenovirus, metapneumovirus and coronavirus."
10,"In this study, we produced an IgY against the PEDV S1 protein and investigated its immunoprophylactic effect in neonatal piglets."
11,"We will describe the anatomic and physiologic characteristics that contribute to the natural susceptibility of ferrets to these viruses, and provide an overview of the approaches available to analyze their immune responses."
12,"Serum samples from calves were drawn before colostrum feeding as well as at 7, 14, and 21 days, and 1 and 2 months of age."
13,"A review of the progress made and setbacks experienced over the past 2 decades suggests that even though many new diseases have emerged, such as SARS (severe acute respiratory syndrome) and the 2009 pandemic influenza, significant advances have occurred in EID control, prevention, and treatment."
14,The rapid identification (within several weeks) of potent MAbs suggests a possibility to use the new large antibody library and related methodology for a quick response to the public threat resulting from emerging coronaviruses.
15,"The pathogens responsible for community-acquired pneumonia (CAP) are similar in pregnant and non-pregnant patients, with Streptococcus pneumoniae, Hemophilus influenzae, Mycoplasma pneumoniae, Legionella spp., Chlamydophila pneumoniae, and influenza A accounting for the majority of cases (2–4)."
16,Information about the open-access article 'Wuhan novel coronavirus 2019nCoV' in DOAJ.
17,Rats were immunized either subcutaneously or intranasally with Ad-SN once a week for three consecutive weeks.
18,"Transmissible gastroenteritis virus (TGEV), the etiological agent of transmissible gastroenteritis (TGE), is the major cause of viral enteritis and fetal diarrhea in swine neonates, resulting in significant economic losses to the swine industry."
19,"The 1918 devastating influenza pandemic left a lasting impact on influenza experts and the public, and the importance of global influenza surveillance was soon recognized."
20,"Therefore, we investigated the safety of an inactivated monovalent H1N1 pandemic influenza vaccine METHODS: We focused on the H1N1 pandemic influenza vaccine Pandemrix(® )and applied a self reporting questionnaire in a population of healthcare workers (HCWs) and medical students at a major university hospital."
21,"With exclusion of individuals at risk for coronary artery disease, atopic dermatitis/eczema, and immunosuppression, HCWs can be smallpox vaccinated with minimal risk."
22,"As such, the present study showed that vaccine-derived PRRSV can cause disease in swine consistent with PRRS."
23,AREAS COVERED IN THIS REVIEW: Adenovirus (Ad) based influenza vaccines represent an attractive alternative/supplement to the currently licensed egg-based influenza vaccines.
24,"In this study, to avoid preexisting anti-vector immunity in humans, a rare serotype chimpanzee adenovirus (AdC7) expressing the ZIKV M/E glycoproteins was used for ZIKV vaccine development."
25,An example of this is the fabricated information spread about the relationship between measles vaccine and autism.
26,All three variant proteins were prepared in vitro and their biochemical and biophysical properties were characterized.
27,"Sensitive diagnostic methods of molecular biology require more time, but the result firmly confirm or exclude the presence of the genetic material of influenza or other respiratory viruses."
28,This work demonstrates the feasibility of using this platform approach with a CD8(+) epitope that binds HLA-B7 and tests the biological activity of potentially protective peptides restricted by human major histocompatibility complex (HLA) class I molecules in HLA transgenic mice.
29,RESULTS: A total of 71 hospitalized pediatric patients were influenza B positive.
30,"Thirty multiparous beef suckler, spring-calving cows, consisting of two genotypes were involved; Limousin×Friesian (LF) and Charolais×Limousin (CL)."
31,Immunogen was prepared from SARS-CoV F69 strain.
32,"Treatments were given at 0 and 12 h. Changes in plasma volume, blood pH, electrolyte levels, and physical examination scores were determined before therapy and again at 1, 2, 4, 8, and 12 h after each treatment."
33,"To determine the distribution profile of PEDV outbreak strains, we sequenced the full-length spike gene from samples from 9 farms where animals exhibited severe diarrhea and mortality rates were high."
34,Spleen cells from mice that were challenged after recovery from homotypic live virus infection did not exhibit the profound in vitro T cell suppression normally observed during the acute stage of primary infection.
35,The protective antibodies are transferred passively to calves through the colostrum.
36," Porcine reproductive and respiratory syndrome virus (PRRSV), a recently discovered arterivirus swine pathogen, was shown to undergo homologous recombination."
37,"Human respiratory syncytial virus (RSV), for which neither a vaccine nor an effective therapeutic treatment is currently available, is the leading cause of severe lower respiratory tract infections in children."
38,"Solving the crystal structure of full-length TGEV at 1.85-Å resolution and conducting several biochemical analyses, we observed that a specific motif (amino acids 91–95) of alphacoronavirus nsp1 is a conserved region that inhibits host protein synthesis."
39,"These results demonstrate that, under practical conditions as applied to grow influenza viruses, contaminating viruses can be effectively removed by passages in MDCK cells."
40,"While the point mutations did affect the hydrolase activity of the enzyme, the IgG antibodies elicited by LdNH36-dg2 were shown to inhibit the hydrolase activity of the wild-type LdNH36."
41,"Most of 116 sera (84%) from feedlot cattle with virus neutralization (VN) titers of < 1:2 or < 1:4 had negative S/N values >0.8, but 18 sera with negative VN titers had positive S/N values, consistent with observations indicating that an IBRV outbreak was occurring in one of the feedlot herds."
42,The gammacoronaviruses primarily infect avian hosts.
43,CLINICAL SIGNIFICANCE: Canine coronavirus should be considered as a clinically relevant cause of infectious respiratory disease in crowded dog populations.
44,"Moreover, data regarding viral attenuation and potency of induced antibodies against PEDVPT-P5 identified PEDVPT-P96 as a potential live-attenuated vaccine candidate."
45,"Further, these viruses fully protected mice against challenge with the lethal parental virus, and are therefore safe and stable vaccine candidates for protection against SARS-CoV."
46,Monovalent and trivalent HA vaccines were tested first in mice and conferred protection against lethal H5N1 A/Vietnam/1203/2004 challenge 68 weeks after vaccination.
47,"Viral titers were significantly (P <0.05) decreased 1.4 TCID50/mL, 3.6 TCID50/mL and 5.0 TCID50/mL, respectively, in the aforementioned samples collected from vaccinated animals compared to non-vaccinated controls at peak shedding."
48,The conditions tested elicited antibodies against the VP1/VP2 antigen that differed in relation to the response time and the profile of structurally available regions that were recognized.
49,The experimental facilities consisted of 2 chambers connected by a 1.3-m-long duct.
50,"While influenza remains a major threat to public health, researchers continue to search for a universal solution to improving the efficacy of the influenza vaccine."
51,The drug-repurposing effort documented herein focuses primarily on agents known to be effective against other RNA viruses including SARS-CoV and MERS-CoV.
52,The fact that measles replication strictly occurs in the cytoplasm of infected cells without DNA intermediate has important biosafety implications and adds to the attractiveness of MV as a vector.
53,Aim: To perform the molecular characterization of the G and F proteins of Brazilian wild-type BRSV strains derived from bovine respiratory infections in both beef and dairy cattle.
54,"Intramuscular immunization of mice with this vaccine was sufficient to induce specific prime as well as a long-term memory humoral immune response to at least two candidate epitopes, S437–459 and M1–20."
55,"In serum, antibodies to rotavirus of all four isotypes were detected, starting with IgM at 5 dpi."
56,In the course of developing these guidelines it was clear that a framework for regional and/or national BVD control would be required to increase the uptake of BVD control at farm level and reduce the overall prevalence of the disease.
57,The majority of vaccines used contained two influenza A strains and only one influenza B strain (trivalent vaccine).
58,"The coronavirus spike (S) protein, a characteristic structural component of the viral envelope, is considered a key target for vaccines for the prevention of coronavirus infection."
59,"Here, we will provide a comprehensive overview of the specificity, antiviral and immunological mechanisms of action and development into the clinic of broadly reactive monoclonal antibodies against influenza A and B viruses."
60,The potential use of this recombinant gIV glycoprotein as a vaccine to bovine herpesvirus 1 infection in cattle is discussed.
61,"SARS is caused by a previously unrecognized lineage of coronavirus, SARS-CoV, which like influenza has an RNA based genome."
62,The glycoprotein gene was inserted at the 1(st) or the 3(rd) position of the measles virus genome and the recombinant viruses were generated.
63,The recombinant pSIP411-VP1 effectively improved immunoprotection against FMDV in guinea pigs.
64,"In vivo DC targeting of a diverse group of biotinylated antigens such as viral and bacterial proteins, a cancer peptide, gangliosides and DNA of certain infectious diseases was conducted in mice."
