pid,title,abstract
lmstdmyb,Scrutinizing the SARS-CoV-2 protein information for the designing an effective vaccine encompassing both the T-cell and B-cell epitopes,"Novel SARS coronavirus (SARS-CoV-2) has caused a pandemic condition world-wide and has been declared as public health emergency of International concern by WHO in a very short span of time. The community transmission of this highly infectious virus has severely affected various parts of China, Italy, Spain and USA among others. The prophylactic solution against SARS-CoV-2 infection is challenging due to the high mutation rate of its RNA genome. Herein, we exploited a next generation vaccinology approach to construct a multi-epitope vaccine candidate against SARS-CoV-2 with high antigenicity, safety and efficacy to combat this deadly infectious agent. The whole proteome was scrutinized for the screening of highly conserved, antigenic, non-allergen and non-toxic epitopes having high population coverage that can elicit both humoral and cellular mediated immune response against COVID-19 infection. These epitopes along with four different adjuvants were utilized to construct a multi-epitope vaccine candidate that can generate strong immunological memory response having high efficacy in humans. Various physiochemical analyses revealed the formation of a stable vaccine product having a high propensity to form a protective solution against the detrimental SARS-CoV-2 strain with high efficacy. The vaccine candidate interacted with immunological receptor TLR3 with high affinity depicting the generation of innate immunity. Further, the codon optimization and in silico expression show the plausibility of the high expression and easy purification of the vaccine product. Thus, this present study provides an initial platform of the rapid generation of an efficacious protective vaccine for combating COVID-19."
ld0vo1rl,COVID-19 coronavirus vaccine design using reverse vaccinology and machine learning,"To ultimately combat the emerging COVID-19 pandemic, it is desired to develop an effective and safe vaccine against this highly contagious disease caused by the SARS-CoV-2 coronavirus. Our literature and clinical trial survey showed that the whole virus, as well as the spike (S) protein, nucleocapsid (N) protein, and membrane (M) protein, have been tested for vaccine development against SARS and MERS. However, these vaccine candidates might lack the induction of complete protection and have safety concerns. We then applied the Vaxign reverse vaccinology tool and the newly developed Vaxign-ML machine learning tool to predict COVID-19 vaccine candidates. By investigating the entire proteome of SARS-CoV-2, six proteins, including the S protein and five non-structural proteins (nsp3, 3CL-pro, and nsp8-10), were predicted to be adhesins, which are crucial to the viral adhering and host invasion. The S, nsp3, and nsp8 proteins were also predicted by Vaxign-ML to induce high protective antigenicity. Besides the commonly used S protein, the nsp3 protein has not been tested in any coronavirus vaccine studies and was selected for further investigation. The nsp3 was found to be more conserved among SARS-CoV-2, SARS-CoV, and MERS-CoV than among 15 coronaviruses infecting human and other animals. The protein was also predicted to contain promiscuous MHC-I and MHC-II T-cell epitopes, and linear B-cell epitopes localized in specific locations and functional domains of the protein. By applying reverse vaccinology and machine learning, we predicted potential vaccine targets for effective and safe COVID-19 vaccine development. We then propose that an ""Sp/Nsp cocktail vaccine"" containing a structural protein(s) (Sp) and a non-structural protein(s) (Nsp) would stimulate effective complementary immune responses."
ptgpxpad,Financing Vaccines for Global Health Security,"Recent outbreaks of infectious pathogens such as Zika, Ebola, and COVID-19 have underscored the need for the dependable availability of vaccines against emerging infectious diseases (EIDs). The cost and risk of R&D programs and uniquely unpredictable demand for EID vaccines have discouraged vaccine developers, and government and nonprofit agencies have been unable to provide timely or sufficient incentives for their development and sustained supply. We analyze the economic returns of a portfolio of EID vaccine assets, and find that under realistic financing assumptions, the expected returns are significantly negative, implying that the private sector is unlikely to address this need without public-sector intervention. We have sized the financing deficit for this portfolio and propose several potential solutions, including price increases, enhanced public-private partnerships, and subscription models through which individuals would pay annual fees to obtain access to a portfolio of vaccines in the event of an outbreak."
qbi5998f,In silico Design of novel Multi-epitope recombinant Vaccine based on Coronavirus surface glycoprotein,"It is of special significance to find a safe and effective vaccine against coronavirus disease 2019 (COVID-19) that can induce T cell and B cell -mediated immune responses. There is currently no vaccine to prevent COVID-19. In this project, a novel multi-epitope vaccine for COVID-19 virus based on surface glycoprotein was designed through application of bioinformatics methods. At the first, seventeen potent linear B-cell and T-cell binding epitopes from surface glycoprotein were predicted in silico, then the epitopes were joined together via different linkers. The ability of the selected epitopes to induce interferon-gamma was evaluate using IFNepitope web server. One final vaccine was constructed which composed of 398 amino acids and attached to 50S ribosomal protein L7/L12 as adjuvant. Physicochemical properties, as well as antigenicity in the proposed vaccines, were checked for defining the vaccine stability and its ability to induce cell-mediated immune responses. Three-dimensional structure of the mentioned vaccine was subjected to the molecular docking studies with MHC-I and MHC-II molecules. The results proposed that the multi-epitope vaccine with 50S ribosomal protein L7/L12 was a stable construct with high aliphatic content and high antigenicity."
xjg2e8be,In silico approach for designing of a multi-epitope based vaccine against novel Coronavirus (SARS-COV-2),"A novel Coronavirus (SARS-COV-2) has now become a global pandemic. Considering the severity of infection and the associated mortalities, there is an urgent need to develop an effective preventive measure against this virus. In this study, we have designed a novel vaccine construct using computational strategies. Spike (S) glycoprotein is the major antigenic component that trigger the host immune responses. Detailed investigation of S protein with various immunoinformatics tools enabled us to identify 5 MHC I and 5 MHC II B-cell derived T-cell epitopes with VaxiJen score > 1 and IC50 value < 100nM. These epitopes were joined with a suitable adjuvant and appropriate linkers to form a multi-epitope based vaccine construct. Further, in silico testing of the vaccine construct for its antigenicity, allergenicity, solubility, and other physicochemical properties showed it to be safe and immunogenic. Suitable tertiary structure of the vaccine protein was generated using 3Dpro of SCRATCH suite, refined with GalaxyRefine, and validated with ProSA, PROCHECK, and ERRAT server. Finally, molecular docking studies were performed to ensure a favorable binding affinity between the vaccine construct and TLR3 receptor. The designed multi-epitope vaccine showed potential to elicit specific immune responses against the SARS-COV-2. However, further wet lab validation is necessary to confirm the actual effectiveness, safety and immunogenic potency of the vaccine construct against derived in this study."
m5ho8jqp,SARS-CoV-2 Vaccines: Status Report,"SARS-CoV-2, the causal agent of COVID-19, first emerged in late 2019 in China. It has since infected more than 870,000 individuals and caused more than 43,000 deaths globally. Here, we discuss therapeutic and prophylactic interventions for SARS-CoV-2 with a focus on vaccine development and its challenges. Vaccines are being rapidly developed but will likely come too late to affect the first wave of a potential pandemic. Nevertheless, critical lessons can be learned for the development of vaccines against rapidly emerging viruses. Importantly, SARS-CoV-2 vaccines will be essential to reducing morbidity and mortality if the virus establishes itself in the population."
8apepcdk,News: Coronavirus vaccine race,"Chinese scientists released genetic information on the coronavirus causing an outbreak of SARS-like illness in Wuhan, China. The Vaccine Research Institute at the US National Institutes of Health (NIH) immediately began development of a new vaccine. After the 2003 SARS outbreak, it took 20 months from the release of the viral genome to get a vaccine ready for human trials. The zika virus took six months. Now, the NIH is pushing to have a vaccine ready for testing in three to six months. The race is on. The NIH team took the template for a SARS vaccine and swapped enough code from the new virus to start a new vaccine. Researchers, having experience with SARS, already knew which part of the virus to choose for the vaccine’s antigen, a sort of red flag for the immune system. This synthetic antigen will prod the body to make antibodies."
b4zibmi1,Ensuring global access to COVID-19 vaccines,Ensuring global access to COVID-19 vaccines
i55tm3hh,An Effective CTL Peptide Vaccine for Ebola Zaire Based on Survivors’ CD8+ Targeting of a Particular Nucleocapsid Protein Epitope with Potential Implications for COVID-19 Vaccine Design,The 2013-2016 West Africa EBOV epidemic was the biggest EBOV outbreak to date. An analysis of virus-specific CD8+ T-cell immunity in 30 survivors showed that 26 of those individuals had a CD8+ response to at least one EBOV protein. The dominant response (25/26 subjects) was specific to the EBOV nucleocapsid protein (NP). It has been suggested that epitopes on the EBOV NP could form an important part of an effective T-cell vaccine for Ebola Zaire. We show that a 9-amino-acid peptide NP44-52 (YQVNNLEEI) located in a conserved region of EBOV NP provides protection against morbidity and mortality after mouse adapted EBOV challenge. A single vaccination in a C57BL/6 mouse using an adjuvanted microsphere peptide vaccine formulation containing NP44-52 is enough to confer immunity in mice. Our work suggests that a peptide vaccine based on CD8+ T-cell immunity in EBOV survivors is conceptually sound and feasible. Nucleocapsid proteins within COVID-19 contain multiple class I epitopes with predicted HLA restrictions consistent with broad population coverage. A similar approach to a CTL vaccine design may be possible for that virus.
7vrm081c,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,"Wuhan Novel Coronavirus disease (COVID-19) outbreak has become a global outbreak which has raised the concern of scientific community to design and discover a definitive cure against this deadly virus which has caused deaths of numerous infected people upon infection and spreading. To date, no antiviral therapy or vaccine is available which can effectively combat the infection caused by this virus. This study was conducted to design possible epitope-based subunit vaccines against the SARS-CoV-2 virus using the approaches of reverse vaccinology and immunoinformatics. Upon continual computational experimentation three possible vaccine constructs were designed and one vaccine construct was selected as the best vaccine based on molecular docking study which is supposed to effectively act against SARS-CoV-2. Later, molecular dynamics simulation and in silico codon adaptation experiments were carried out in order to check biological stability and find effective mass production strategy of the selected vaccine. Hopefully, this study will contribute to uphold the present efforts of the researches to secure a definitive treatment against this lethal virus."
