,sent
0,": Porcine epidemic diarrhea virus (PEDV), a highly pathogenic and transmissible virus in swine, was first detected in the U.S. in May, 2013, and has caused tremendous losses to the swine industry."
1,"Moreover, Per a 2–372 vaccine markedly decreased airway hyper-responsiveness and infiltration of inflammatory cells into the lungs, as well as reduced mRNA expression of IL-4 and IL-13 in comparison with the control mice."
2,"Human coronavirus NL63 (HCoV-NL63), a recently discovered member of the Coronaviridae family, has spread worldwide and is associated with acute respiratory illness in young children and elderly and immunocompromised persons."
3,"On January 7, 2020, Chinese health officials confirmed that a novel coronavirus (2019-nCoV) was associated with this initial cluster (1)."
4,"A novel coronavirus (2019-nCoV) originating in Wuhan, China presents a potential respiratory viral pandemic to the world population."
5,During this period Coxsackievirus A21 and later influenza A2 virus were administered to some of the men.
6,Results Influenza vaccination uptake for the 5 years preceding the study was found to be 20·8%.
7," To clarify the prevalence of canine coronavirus (CCoV) infection in Japan, faecal samples from 109 dogs with diarrhoea were examined for CCoV RNA together with canine parvovirus type 2 (CPV-2) DNA."
8,High titers of antibodies to SRASCoV appeared in the immunized mice and the neutralization test showed that antibodies to the fusion protein could inhibit SARSCoV.
9,"After inoculation, P3 caused diarrhea in all pigs with a high level of fecal viral RNA shedding."
10,The systemic and mucosal immune responses were confirmed by measuring COE-specific IgG and IgA antibody-secreting cells in the lymphocytes extracted from the spleen and COE-specific IgA antibody-secreting cells in the Peyer’s patches from immunized mice.
11,Ribavirin aerosol is used for treatment of pediatric infection by respiratory syncytial virus [19].
12,There was drift in influenza A(H3N2) dominant epitopes B (2014 and 2015) to epitopes A (2016) with a theoretical efficiency in vaccine ranging from low to moderate.
13,Outbreaks of novel highly pathogenic avian influenza viruses have been reported in poultry species in the United States since 2014.
14,These results suggested that the reduction in lung inflammation together with a more robust antiviral T cell response contributed to rSARS-CoV-MA15-E* attenuation.
15,"In 2014, the Advisory Committee on Immunization Practices (ACIP) reviewed data from one licensed ASO3-adjuvanted influenza A(H5N1) vaccine for consideration of use during inter-pandemic periods among persons with occupational exposure."
16,"Since vaccines targeting E6 also represent an important strategy for controlling HPV-associated lesions, we developed a DNA vaccine encoding CRT linked to E6 (CRT/E6)."
17,"The MAbs mediated antibody-dependent cellular cytotoxicity (ADCC), and mice that received the MAbs and were then challenged by corneal inoculation with HSV-1 had reduced eye disease, shedding, and latent infection."
18,The outbreak in Singapore ended with the prohibition of pig imports from Malaysia and the Malaysian outbreak was ended by culling 45% of the country's pig population with costs exceeding US$500 million.
19,"Each contracting State agrees to take effective measures to prevent the spread by means of air navigation of cholera, typhus (epidemic), smallpox, yellow fever, plague, and such other communicable diseases as the contracting States shall from time to time decide to designate, and to that end contracting States will keep in close consultation with the agencies concerned with international regulations relating to sanitary measures applicable to aircraft."
20,All calves were challenged with virulent BRSV on day 46.
21," Infectious bronchitis (IB) is a highly contagious respiratory disease of poultry, caused by the avian coronavirus infectious bronchitis virus (IBV)."
22,The purpose of this article is to give an overview of basic neonatal immunology and principles of vaccination as they relate to beef and dairy calves.
23,"Here we demonstrate that a novel DNA vaccine expressing a modified V antigen (LcrV) of Y. pestis, with a human tissue plasminogen activator (tPA) signal sequence, elicited strong V-specific antibody responses in BALB/c mice."
24,"Results Of 151 samples analyzed, 39 (26%) were influenza A positive, 5 (3·3%) influenza B positive and 4 (2·6%) respiratory syncytial virus positive by immunofluorescence."
25,This result demonstrates the importance of epidemiological monitoring of RVA genotypes circulating in vaccinated dairy cattle herds to the early detection of new potential pathogenic RVA strains.
26,"The present report describes the clinical, pathological, serological and virological findings in calves from 2 larger Danish beef herds experiencing outbreaks of pneumonia."
27,Currently a sanitary programme is also being conducted in Germany.
28,"However, until relatively recently there have been few attempts to develop animal models that address chronic influences of acute and chronic infections."
29,Recipients of inactivated influenza vaccine containing the same A(H1N1)pdm09 strain were studied for comparison.
30,"Indeed, although vaccination is the most powerful means of mitigating the effects of influenza epidemics, antiviral drugs can be very useful, particularly in delaying the spread of new pandemic viruses, thereby enabling manufacturers to prepare large quantities of pandemic vaccine."
31,"We provide an overview of respiratory virus-induced HI, including viruses such as respiratory syncytial virus (RSV), rhinovirus (RV), coronavirus (CoV) and influenza virus (IV)."
32,One intramuscular injection of dMAb produced antibodies in vivo more rapidly than active vaccination with an anti-CHIKV DNA vaccine.
33,"Despite control efforts involving improved biosecurity and different vaccination protocols, the virus continues to circulate and evolve."
34, Influenza virus research has recently undergone a shift from a virus-centric perspective to one that embraces the full spectrum of virus–host interactions and cellular signaling events that determine disease outcome.
35,"The HA proteins of diverse influenza virus subtypes isolated from a variety of species differ in their acid stabilities, or pH values at which irreversible HA protein conformational changes are triggered."
36,"At the day of TGEV-challenge, the in vitro stimulation of mononuclear cells from the mesenteric lymph nodes of group 3 pigs with inactivated TGEV resulted in an increase in double positive (CD4+CD8+), natural killer (CD2+CD4−CD8+dim) and cytotoxic (CD2+CD4−CD8+bright) T-cell phenotypes, accompanied by increased expression of interleukin-2 receptor and a decrease of the null (CD2−CD4−CD8−/SW6+) cell phenotype."
37,IMPORTANCE Yellow fever is an acute viral hemorrhagic disease which threatens approximately 1 billion people living in tropical areas of Africa and Latin America.
38,The SENTINEL influenza surveillance system is an important tool for monitoring influenza in Poland.
39,These findings establish that an LcrV DNA vaccine is able to elicit CD8+ T cell immune responses against specific epitopes of this key plague antigen and that a CD8+ T cell immune response is involved in LcrV DNA vaccine-elicited protection.
40,"This was followed by lower respiratory tract infections/pneumonia (n = 411/1238 [34%]; among detected pathogens most frequently Streptococcus pneumoniae, n = 192/299 [64%]), urinary tract infections (n = 218/1238 [18%]; Escherichia coli, n = 21/32 [66%]), gastrointestinal infections (n = 210 [17%]; rotavirus, n = 32/97 [33%]), and invasive bloodstream infections (n = 62 [5%]; Salmonella species, n = 47 [76%])."
41,"For the latter, i.n."
42,"A prospective, multi-year, community-based cohort study is an ideal setting to examine the utility of home-collected specimens for identification of influenza."
43,"ILI-specimens negative for influenza were cultured, followed by rRT-PCR for enterovirus and rhinovirus (EV/RV) and EV71."
44,"These methods include a) a ZIKV infection and vaccine inoculation in Ifnar1(-/-) mice; b) histopathology, immunofluorescence, and immunohistochemistry assays to detect the virus infection and inflammation in the brain, testes, and spleen; c) the preparation of a tetramer of ZIKV-derived T-cell epitopes; d) the detection of ZIKV-specific T cells in the monocytes isolated from the brain, testes, and spleen."
45,A vaccine with heterosubtypic protection (hetero-protection) has been needed.
46,We focused on this subtype because of its epidemiological importance in causing significant morbidity and mortality during influenza epidemics.
47,"Altogether, these results suggest that the studied vaccine did not promote the emergence of rotavirus genotypes or variants different from those of the vaccine or other viruses responsible for calf diarrhoea, such as caliciviruses."
48,"In addition, the modified rNDV vector induced a higher level of fecal IgA response in mice than did baculovirus-expressed VLPs."
49,"However, compared to H7 VLPs-WT, H7 VLPs-TM had more trimeric HA proteins and could better resist thermal changes."
50,"With the coronavirus pandemic getting worse, we are turning to new techniques to deliver a vaccine in record time."
51,Recombinant simian adenovirus vectors were developed to circumvent the limitations imposed by the use of human adenoviruses due to widespread seroprevalence of neutralising antibodies.
52,"Since then, sporadic ZIKV infections of humans have been reported in Africa and Asia."
53,"High frequencies of peptide specific CD8+ T cell responses were elicited in mice by DNA vaccination with ICP27, VP22 and VP13/14, as demonstrated by CD107a mobilization."
54,"The morbidity due to diarrhea among calves from dams in the vaccinated and placebo groups was 34% and 77%, respectively in 1986; 23% and 47% in 1987, and 15% and 34%, in 1988."
55,"Because influenza vaccination appeared not to be associated with a clinically relevant reduction in severe morbidity, other measures need to be explored."
56,The probability of a residual cell being present in a dose of vaccine is approximately 1 in 1034.
57,Mucosal vaccination is an effective strategy for generating antigen-specific immune responses against mucosal infections of foot-and-mouth disease virus (FMDV).
58,"Moreover, the adjuvanticity of rOv-ASP-1 was retained with an efficacy similar to that obtained when it was used for a first vaccination, even though a high level of anti-rOv-ASP-1 antibodies was present in the sera of mice before the administration of the second vaccine."
59,"Except for influenza, respiratory virus prevalence declined with age."
60,"ABSTRACT Recently, a novel Coronavirus (SARS-COV-2) emerged which is responsible for the recent outbreak in Wuhan, China."
61,"Two cases are reported to exemplify how feeder swine exposed to points of concentration such as holding areas, sales barns and auctions can play an important role in the epizootiology of transmissible gastroenteritis."
62,"The use of animal models should be coupled with human studies in an iterative manner for maternal vaccine experimentation, evaluation and optimization."
63,"In conclusion, oral administration of LL-HA1/L/AcmA in mice induced mucosal immunity and most importantly, provided protection against lethal influenza virus challenge."
64,Antigenicity was evaluated using human sera samples from malaria-endemic areas of Colombia and Papua New Guinea.
65,"Among them, rotaviruses are one of the most important causes of diarrhea in young animals and human infants."
66,"In particular, the mAb AR4A, recognizing a discontinuous epitope outside the CD81bs on the E1E2 complex, has an exceptionally broad neutralizing activity toward diverse HCV genotypes and protects against heterologous HCV challenge in a small animal model."
67,Chicken egg antibodies are another source of antibodies for passive immunity.
68,"Importantly, recombinant RSM2e3 spores elicited strong and long-term M2e-specific systemic and mucosal immune responses, completely protecting immunized mice from lethal challenge of A/PR/8/34(H1N1) influenza virus."
69,We then tested the ability of vaccination with the recombinant S1 protein to protect piglets against PEDV.
70,"We found that peptides corresponding to residues 1–30, 86–100, 306–320, and 351–365 contained murine immunodominant T-cell epitopes."
71,"This discovery not only provides more alternative vaccine development platforms for MERS-CoV vaccine development, but also provides a theoretical basis for our future selection of vaccine vector platforms for other specific pathogens."
72,"Here, we report that cells infected with the live attenuated Bartha vaccine strain of porcine alphaherpesvirus pseudorabies virus (PRV) trigger a dramatically increased TI-IFN response by porcine primary pDC compared to cells infected with wild-type PRV strains (Becker and Kaplan)."
73,"OBJECTIVE: We compared the impact of three household interventions—education, education with alcohol-based hand sanitizer, and education with hand sanitizer and face masks—on incidence and secondary transmission of upper respiratory infections (URIs) and influenza, knowledge of transmission of URIs, and vaccination rates."
74,": Porcine reproductive and respiratory syndrome virus (PRRSV) induces one of most important devastating disease of swine worldwide, and the current methods poorly control it."
75,Differences in means of PI between groups and the 95% confidence interval (CI) were calculated.
76,"In three previous studies, influenza virus vaccines reduced the incidence of AOM by 30% to 36%."
77,"Additionally, poxviruses can be engineered to specifically target cancer cells and are used as a vaccine vector against tuberculosis, influenza, and coronaviruses."
78,"The specificity and sensitivity of the N antigen assay were evaluated with ground lung tissues from 8 PRRSV-infected and 16 healthy swine, and culture supernatants from six PRRSV isolates as well as other swine viruses were confirmed by reverse transcriptase PCR (RT-PCR)."
79,"It was observed that the level of IgG or sIgA from mice orally immunized with VP2-LTB was higher than that from mice received VP2 and negative control, which demonstrated significantly statistically different."
80,"After the recent summary of World Health Organization–authorized research on smallpox, several clinical issues remain."
81,"It is highly desirable to find an approach for rapidly developing potent therapeutics against MERS-CoV, which not only can be implemented for MERS treatment but also can help to develop a platform strategy to combat future emerging coronaviruses."
82,"Coronavirus was the most common virus, detected in 56.4% of these flocks, with astrovirus in 29.7% of the flocks, and rotavirus (9.9%) and reovirus (5.6%) being the least common."
83,The Middle East respiratory syndrome coronavirus (MERS-CoV) was identified in 2012 during the first Middle East respiratory syndrome (MERS) outbreaks.
84,"However, there is no evidence supporting the use of these drugs, and randomised controlled trials are urgently needed to better define the optimal management of common viral pneumonia in patients with haematological malignancies."
85,The TGEV immune protection was primarily dependent on mucosal immunity.
86,"The aims of this study were to describe when and how vaccines are administered during the production cycle in cow-calf herds in western Canada, as well as the factors that influence vaccine usage as reported by producers."
87,"Thus, influenza virus transmission in wild and domestic animals and humans is intimately connected."
88,"In this study, test conditions are established so that the degree of brain penetration or brain destruction of newly developed vaccines can be quantitatively identified."
89,"The Vaccine Research Center has developed a number of vaccine candidates for different diseases/infectious agents (HIV-1, Severe Acute Respiratory Syndrome virus, West Nile virus, and Ebola virus, plus a plasmid cytokine adjuvant—IL-2/Ig) based on a DNA plasmid vaccine platform."
90,The outbreak of porcine epidemic diarrhea virus (PEDV) has been a big problem of swine industry in China in recent years.
91," Virus-like particles (VLPs) have received considerable attention due to their potential application in veterinary vaccines and, in particular, VLPs from rabbit haemorrhagic disease virus (RHDV) have successfully shown to be good platforms for inducing immune responses against an inserted foreign epitope in mice."
92,"In addition, Gag-specific and gp120-specific cytotoxic T lymphocyte (CTL) responses were observed in sorted spleen lymphocytes of immunized mice."
93,"After two intramuscular vaccinations with ADS-MVA alone, the 50% inhibitory concentration in serum was achieved with reciprocal sera dilutions of more than 1,000- to 10,000-fold in these animals."
94,"Diseases most commonly vaccinated against were Bovine Viral Diarrhoea, Leptospirosis and Infectious Bovine Rhinotracheitis."
95,"In BCG-immune mice the resistance to VV infection and VV-induced CD4 T-cell IFN-γ production were ablated by cyclosporine A, which inhibits signaling through the T-cell receptor."
96,"Emerging RNA viruses such as Zika virus, Nipah virus and Crimean-Congo haemorrhagic fever virus are a matter of grave concern to India."
97,The results show that these siRNA inhibited virus yield 10- to 300-fold for different FMDV isolates of serotype O and serotype Asia I at 48 h post infection in BHK-21 cells compared to control cells.
98,"Based on these data, additional clinical trials are in development to evaluate influenza vaccine candidate antigens manufactured using Spodoptera frugiperda (Sf9)/baculovirus-based VLP technology."
99,"Of 1,704 samples tested, 16% were positive for influenza."
100,No vaccine or effective therapy is available.
101,"Viral diseases are highly infectious and capable of causing pandemics as evidenced by outbreaks of diseases like Ebola, Middle East Respiratory Syndrome, West Nile, SARS-Corona, Nipah, Hendra, Avian influenza and Swine influenza."
102,Bovine RSV (BRSV) is a primary cause of lower respiratory tract disease in young cattle.
103,Human parainfluenza virus type 1 (HPIV1) is a significant cause of pediatric respiratory disease in the upper and lower airways.
104,"Given the ongoing concerns regarding the use of variola as a biological weapon, this review will focus on the licensed vaccines as well as current research into next-generation vaccines to protect against smallpox and other poxviruses."
105, The Middle East respiratory syndrome coronavirus (MERS-CoV) is a highly pathogenic and zoonotic virus with a fatality rate in humans of over 35%.
106,"Bacteria that have been recorded in many samples acquired by endoscopy or sinus puncture in CRS patients are Staphylococcus aureus (both MSSA and MRSA), Staphylococci (coagulase-negative) (SCN), H. influenza, M. catarrhalis, S. pneumonia, S. intermedius, P. aeruginosa, N. species, and other anaerobic bacteria."
107,Pragmatism has largely been the driving force underpinning mice as highly effective mammalian models for elucidating hCoV–host interactions that govern pathogenesis.
108,The ensemble of models predicts that the current burden of severe rotavirus disease is 2.6–3.7% of the population each year and that a 2-dose vaccine schedule achieving 70% coverage could reduce burden by 39–42%.
109,We were able to demonstrate the potency of influenza virus NS vectors to induce an M. tuberculosis-specific Th1 immune response in mice.
110,Nasopharyngeal aspirates were tested for influenza and other respiratory viruses by polymerase chain reaction.
111,: Varicella zoster virus (VZV) is a neurotropic alphaherpesvirus that infects humans and results in chickenpox and herpes zoster.
112,"To bypass this problem, several alternative approaches have been applied for the generation of ZIKV clones including, among others, in vitro ligation, insertions of introns and using infectious subgenomic amplicons."
113,These results demonstrate that transgenic carrot plants can be used as an efficient expression system to produce highly immunogenic viral antigens.
114,"Vaccination is a major strategy for containing resurgence of SARS in humans, and a number of vaccine candidates have been tested in experimental animal models."
